"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","EO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Analysis","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Communications","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","AA/AO","Female","30","30","21250","21250"
"In post","2022","16-19","Debt","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Debt","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
