"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","16-19","Asian","AA/AO","AO","60","55","21610","21260"
"In post","2022","16-19","Asian","EO","EO","30","30","26230","26590"
"In post","2022","16-19","Asian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","16-19","Black","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","16-19","Mixed","EO","EO","5","5","[c]","[c]"
"In post","2022","16-19","Mixed","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","AA","100","90","19960","20890"
"In post","2022","16-19","Unknown","AA/AO","AO","250","240","22170","21260"
"In post","2022","16-19","Unknown","EO","EO","105","105","22570","24490"
"In post","2022","16-19","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","45","45","17940","16720"
"In post","2022","16-19","White","AA/AO","AA","120","115","19330","19380"
"In post","2022","16-19","White","AA/AO","AO","325","320","22100","21260"
"In post","2022","16-19","White","EO","EO","155","155","23460","24300"
"In post","2022","16-19","White","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
