"Status","Year","Ethnicity","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Heterosexual / straight","535","525","42920","38370"
"In post","2022","Asian","Analysis","LGBO","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Undeclared","35","35","47120","46680"
"In post","2022","Asian","Analysis","Unknown","35","35","40450","37650"
"In post","2022","Asian","Commercial","Heterosexual / straight","250","245","42550","38840"
"In post","2022","Asian","Commercial","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Communications","Heterosexual / straight","580","570","32450","27140"
"In post","2022","Asian","Communications","LGBO","20","15","[c]","[c]"
"In post","2022","Asian","Communications","Undeclared","30","30","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","85","80","30170","26820"
"In post","2022","Asian","Counter Fraud","Heterosexual / straight","1045","985","31220","28940"
"In post","2022","Asian","Counter Fraud","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Undeclared","65","55","29210","27570"
"In post","2022","Asian","Counter Fraud","Unknown","225","200","30470","28920"
"In post","2022","Asian","Debt","Heterosexual / straight","545","480","23040","21260"
"In post","2022","Asian","Debt","LGBO","25","20","[c]","[c]"
"In post","2022","Asian","Debt","Undeclared","50","45","23420","21680"
"In post","2022","Asian","Debt","Unknown","145","120","25150","25110"
"In post","2022","Asian","Digital, Data & Technology","Heterosexual / straight","1170","1155","41930","37910"
"In post","2022","Asian","Digital, Data & Technology","LGBO","40","40","42030","37210"
"In post","2022","Asian","Digital, Data & Technology","Undeclared","75","75","41330","39320"
"In post","2022","Asian","Digital, Data & Technology","Unknown","120","115","42040","39980"
"In post","2022","Asian","Finance","Heterosexual / straight","950","925","39280","36500"
"In post","2022","Asian","Finance","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Undeclared","60","60","36750","35310"
"In post","2022","Asian","Finance","Unknown","115","110","36350","34290"
"In post","2022","Asian","Grants Management","Heterosexual / straight","30","30","25090","21300"
"In post","2022","Asian","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","Heterosexual / straight","585","570","37170","33370"
"In post","2022","Asian","Human Resources","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Undeclared","30","30","34290","30170"
"In post","2022","Asian","Human Resources","Unknown","35","35","36040","33370"
"In post","2022","Asian","Internal Audit","Heterosexual / straight","75","75","47320","44020"
"In post","2022","Asian","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Heterosexual / straight","980","920","43830","48080"
"In post","2022","Asian","Legal","LGBO","30","30","[c]","[c]"
"In post","2022","Asian","Legal","Undeclared","35","30","41490","35260"
"In post","2022","Asian","Legal","Unknown","140","120","43210","44040"
"In post","2022","Asian","No function","Heterosexual / straight","14660","13755","31570","27970"
"In post","2022","Asian","No function","LGBO","400","375","32530","28060"
"In post","2022","Asian","No function","Undeclared","960","870","30780","27570"
"In post","2022","Asian","No function","Unknown","1920","1675","31110","27570"
"In post","2022","Asian","Project Delivery","Heterosexual / straight","1055","1025","42150","38600"
"In post","2022","Asian","Project Delivery","LGBO","35","35","40990","40000"
"In post","2022","Asian","Project Delivery","Undeclared","35","35","39680","35680"
"In post","2022","Asian","Project Delivery","Unknown","130","120","41600","38600"
"In post","2022","Asian","Property","Heterosexual / straight","380","365","36950","33000"
"In post","2022","Asian","Property","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Property","Undeclared","30","25","[c]","[c]"
"In post","2022","Asian","Property","Unknown","45","40","32060","30600"
"In post","2022","Asian","Security","Heterosexual / straight","275","270","33900","31660"
"In post","2022","Asian","Security","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Security","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Security","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Unknown","Heterosexual / straight","4835","4530","32690","29040"
"In post","2022","Asian","Unknown","LGBO","65","60","32560","28870"
"In post","2022","Asian","Unknown","Undeclared","415","375","30720","28670"
"In post","2022","Asian","Unknown","Unknown","85","85","33370","28980"
"In post","2022","Black","Analysis","Heterosexual / straight","175","170","39500","37610"
"In post","2022","Black","Analysis","LGBO","10","10","[c]","[c]"
"In post","2022","Black","Analysis","Undeclared","10","10","[c]","[c]"
"In post","2022","Black","Analysis","Unknown","25","25","[c]","[c]"
"In post","2022","Black","Commercial","Heterosexual / straight","135","135","40390","36530"
"In post","2022","Black","Commercial","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Commercial","Undeclared","5","5","[c]","[c]"
"In post","2022","Black","Commercial","Unknown","20","20","[c]","[c]"
"In post","2022","Black","Communications","Heterosexual / straight","210","205","32810","27500"
"In post","2022","Black","Communications","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Communications","Undeclared","10","10","[c]","[c]"
"In post","2022","Black","Communications","Unknown","20","20","[c]","[c]"
"In post","2022","Black","Counter Fraud","Heterosexual / straight","470","445","31050","31020"
"In post","2022","Black","Counter Fraud","LGBO","10","10","[c]","[c]"
"In post","2022","Black","Counter Fraud","Undeclared","40","35","30990","28920"
"In post","2022","Black","Counter Fraud","Unknown","100","90","31140","31060"
"In post","2022","Black","Debt","Heterosexual / straight","150","135","24670","21260"
"In post","2022","Black","Debt","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Debt","Undeclared","10","10","[c]","[c]"
"In post","2022","Black","Debt","Unknown","50","45","27100","26400"
"In post","2022","Black","Digital, Data & Technology","Heterosexual / straight","560","555","39700","36590"
"In post","2022","Black","Digital, Data & Technology","LGBO","15","15","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Undeclared","20","20","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Unknown","45","40","38060","36840"
"In post","2022","Black","Finance","Heterosexual / straight","400","395","39440","36650"
"In post","2022","Black","Finance","LGBO","10","10","[c]","[c]"
"In post","2022","Black","Finance","Undeclared","15","15","[c]","[c]"
"In post","2022","Black","Finance","Unknown","20","20","[c]","[c]"
"In post","2022","Black","Grants Management","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Black","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","Heterosexual / straight","335","330","36870","34290"
"In post","2022","Black","Human Resources","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Human Resources","Undeclared","15","15","[c]","[c]"
"In post","2022","Black","Human Resources","Unknown","20","20","[c]","[c]"
"In post","2022","Black","Internal Audit","Heterosexual / straight","30","30","43940","42870"
"In post","2022","Black","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Legal","Heterosexual / straight","520","505","40770","33930"
"In post","2022","Black","Legal","LGBO","15","15","[c]","[c]"
"In post","2022","Black","Legal","Undeclared","20","20","[c]","[c]"
"In post","2022","Black","Legal","Unknown","85","75","44100","40450"
"In post","2022","Black","No function","Heterosexual / straight","8610","8290","31700","30450"
"In post","2022","Black","No function","LGBO","210","205","31830","30250"
"In post","2022","Black","No function","Undeclared","495","465","31410","30330"
"In post","2022","Black","No function","Unknown","915","840","31410","30750"
"In post","2022","Black","Project Delivery","Heterosexual / straight","605","595","39720","37920"
"In post","2022","Black","Project Delivery","LGBO","10","10","[c]","[c]"
"In post","2022","Black","Project Delivery","Undeclared","25","25","[c]","[c]"
"In post","2022","Black","Project Delivery","Unknown","45","45","37390","35840"
"In post","2022","Black","Property","Heterosexual / straight","165","160","37930","34600"
"In post","2022","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","Undeclared","15","15","[c]","[c]"
"In post","2022","Black","Property","Unknown","15","15","[c]","[c]"
"In post","2022","Black","Security","Heterosexual / straight","120","120","33020","30590"
"In post","2022","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","Undeclared","5","5","[c]","[c]"
"In post","2022","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Heterosexual / straight","2035","1930","33390","29250"
"In post","2022","Black","Unknown","LGBO","40","35","39140","30670"
"In post","2022","Black","Unknown","Undeclared","120","110","32670","29020"
"In post","2022","Black","Unknown","Unknown","35","30","35180","31520"
"In post","2022","Mixed","Analysis","Heterosexual / straight","170","165","43720","40280"
"In post","2022","Mixed","Analysis","LGBO","20","20","[c]","[c]"
"In post","2022","Mixed","Analysis","Undeclared","5","5","[c]","[c]"
"In post","2022","Mixed","Analysis","Unknown","20","20","[c]","[c]"
"In post","2022","Mixed","Commercial","Heterosexual / straight","75","70","39900","36520"
"In post","2022","Mixed","Commercial","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Communications","Heterosexual / straight","150","145","38190","33370"
"In post","2022","Mixed","Communications","LGBO","15","15","[c]","[c]"
"In post","2022","Mixed","Communications","Undeclared","15","15","[c]","[c]"
"In post","2022","Mixed","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","Heterosexual / straight","180","170","33230","29290"
"In post","2022","Mixed","Counter Fraud","LGBO","20","20","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","Undeclared","30","30","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","Unknown","30","25","30960","27570"
"In post","2022","Mixed","Debt","Heterosexual / straight","65","60","23060","21260"
"In post","2022","Mixed","Debt","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","Unknown","10","5","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","Heterosexual / straight","260","255","40860","37500"
"In post","2022","Mixed","Digital, Data & Technology","LGBO","40","40","42300","40360"
"In post","2022","Mixed","Digital, Data & Technology","Undeclared","25","25","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","Unknown","20","20","[c]","[c]"
"In post","2022","Mixed","Finance","Heterosexual / straight","170","165","40870","37350"
"In post","2022","Mixed","Finance","LGBO","15","15","[c]","[c]"
"In post","2022","Mixed","Finance","Undeclared","5","5","[c]","[c]"
"In post","2022","Mixed","Finance","Unknown","15","15","[c]","[c]"
"In post","2022","Mixed","Grants Management","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Mixed","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Human Resources","Heterosexual / straight","190","185","40650","36570"
"In post","2022","Mixed","Human Resources","LGBO","35","35","41330","36650"
"In post","2022","Mixed","Human Resources","Undeclared","15","15","[c]","[c]"
"In post","2022","Mixed","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Mixed","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Legal","Heterosexual / straight","255","235","48200","50500"
"In post","2022","Mixed","Legal","LGBO","25","20","[c]","[c]"
"In post","2022","Mixed","Legal","Undeclared","15","15","[c]","[c]"
"In post","2022","Mixed","Legal","Unknown","35","30","52860","60710"
"In post","2022","Mixed","No function","Heterosexual / straight","4125","3940","33420","30110"
"In post","2022","Mixed","No function","LGBO","485","470","33020","29290"
"In post","2022","Mixed","No function","Undeclared","395","375","34400","30360"
"In post","2022","Mixed","No function","Unknown","345","310","32780","28390"
"In post","2022","Mixed","Project Delivery","Heterosexual / straight","335","325","42450","39700"
"In post","2022","Mixed","Project Delivery","LGBO","40","40","42700","40050"
"In post","2022","Mixed","Project Delivery","Undeclared","30","25","[c]","[c]"
"In post","2022","Mixed","Project Delivery","Unknown","40","40","41140","38330"
"In post","2022","Mixed","Property","Heterosexual / straight","90","85","37050","33370"
"In post","2022","Mixed","Property","LGBO","5","5","[c]","[c]"
"In post","2022","Mixed","Property","Undeclared","5","5","[c]","[c]"
"In post","2022","Mixed","Property","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Security","Heterosexual / straight","105","105","37320","34590"
"In post","2022","Mixed","Security","LGBO","5","5","[c]","[c]"
"In post","2022","Mixed","Security","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Security","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Unknown","Heterosexual / straight","935","890","36110","30820"
"In post","2022","Mixed","Unknown","LGBO","85","80","39020","34600"
"In post","2022","Mixed","Unknown","Undeclared","95","85","33280","29370"
"In post","2022","Mixed","Unknown","Unknown","20","15","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","Heterosexual / straight","35","35","44200","37770"
"In post","2022","Other ethnicity","Analysis","LGBO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","Undeclared","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Analysis","Unknown","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","Undeclared","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","Unknown","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Communications","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","Undeclared","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","Heterosexual / straight","50","45","33780","31020"
"In post","2022","Other ethnicity","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","Undeclared","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","Unknown","10","10","[c]","[c]"
