"Status","Year","Profession_of_post","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Barnet","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","925","890","39840","37400"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","40","40","35060","32710"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","130","125","42580","39510"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","95","95","37210","34260"
"In post","2022","Commercial","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Heterosexual / straight","55","55","36390","33060"
"In post","2022","Commercial","Birmingham","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Birmingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","Blackburn with Darwen","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackburn with Darwen","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Commercial","Blackpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Heterosexual / straight","50","50","38600","36620"
"In post","2022","Commercial","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Unknown","20","15","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","Heterosexual / straight","45","45","36970","36800"
"In post","2022","Commercial","Buckinghamshire","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Calderdale and Kirklees","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Calderdale and Kirklees","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Heterosexual / straight","35","35","33540","33150"
"In post","2022","Commercial","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Heterosexual / straight","35","35","41760","36150"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Heterosexual / straight","90","85","35170","34800"
"In post","2022","Commercial","Central Hampshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Unknown","35","35","31560","29230"
"In post","2022","Commercial","Central Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","Heterosexual / straight","35","35","41790","37710"
"In post","2022","Commercial","City of Edinburgh","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Conwy and Denbighshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Conwy and Denbighshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Coventry","Heterosexual / straight","45","40","40230","36780"
"In post","2022","Commercial","Coventry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Coventry","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Coventry","Unknown","15","10","[c]","[c]"
"In post","2022","Commercial","Croydon","Heterosexual / straight","80","80","44820","43350"
"In post","2022","Commercial","Croydon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Croydon","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Croydon","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","Darlington","Heterosexual / straight","60","55","38090","36500"
"In post","2022","Commercial","Darlington","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Darlington","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Darlington","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Devon CC","Heterosexual / straight","170","160","44220","45150"
"In post","2022","Commercial","Devon CC","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Devon CC","Undeclared","25","20","[c]","[c]"
"In post","2022","Commercial","Devon CC","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Dorset","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Dorset","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dudley","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dudley","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Durham","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Durham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Durham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Unknown","[c]","[c]","[c]","[c]"
