"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","AA/AO","Female","450","370","21410","21250"
"In post","2022","Asian","East Midlands (England)","AA/AO","Male","315","295","21810","21260"
"In post","2022","Asian","East Midlands (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","EO","Female","320","285","27090","27570"
"In post","2022","Asian","East Midlands (England)","EO","Male","285","280","27130","27570"
"In post","2022","Asian","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G6/G7","Female","55","55","55640","55210"
"In post","2022","Asian","East Midlands (England)","G6/G7","Male","40","40","59270","55610"
"In post","2022","Asian","East Midlands (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SEO/HEO","Female","195","180","35260","33370"
"In post","2022","Asian","East Midlands (England)","SEO/HEO","Male","195","185","35250","33370"
"In post","2022","Asian","East Midlands (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Unknown","Female","65","60","28880","28200"
"In post","2022","Asian","East Midlands (England)","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","AA/AO","Female","220","180","22720","21680"
"In post","2022","Asian","East of England","AA/AO","Male","145","135","23540","21680"
"In post","2022","Asian","East of England","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","EO","Female","275","250","28130","27570"
"In post","2022","Asian","East of England","EO","Male","175","170","28130","27570"
"In post","2022","Asian","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","G6/G7","Female","40","40","60590","58550"
"In post","2022","Asian","East of England","G6/G7","Male","30","30","62280","60550"
"In post","2022","Asian","East of England","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Asian","East of England","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Asian","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","SEO/HEO","Female","110","105","37490","37000"
"In post","2022","Asian","East of England","SEO/HEO","Male","110","110","38990","37000"
"In post","2022","Asian","East of England","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Unknown","Female","40","35","26650","24800"
"In post","2022","Asian","East of England","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Asian","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","AA/AO","Female","1455","1225","24840","25110"
