"Status","Year","Parent_department","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","London","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AO","Heterosexual / straight","300","285","23490","23770"
"In post","2022","Attorney General's Departments","London","AO","LGBO","20","15","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AO","Undeclared","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AO","Unknown","85","75","23810","23770"
"In post","2022","Attorney General's Departments","London","EO","Heterosexual / straight","555","530","28430","27580"
"In post","2022","Attorney General's Departments","London","EO","LGBO","50","50","28740","27510"
"In post","2022","Attorney General's Departments","London","EO","Undeclared","45","45","28410","27580"
"In post","2022","Attorney General's Departments","London","EO","Unknown","130","120","28620","28890"
"In post","2022","Attorney General's Departments","London","G6","Heterosexual / straight","575","530","68080","66200"
"In post","2022","Attorney General's Departments","London","G6","LGBO","55","50","69570","66610"
"In post","2022","Attorney General's Departments","London","G6","Undeclared","65","60","68340","66610"
"In post","2022","Attorney General's Departments","London","G6","Unknown","270","245","68730","66610"
"In post","2022","Attorney General's Departments","London","G7","Heterosexual / straight","1215","1140","55100","53050"
"In post","2022","Attorney General's Departments","London","G7","LGBO","90","85","54330","51830"
"In post","2022","Attorney General's Departments","London","G7","Undeclared","85","80","55510","53050"
"In post","2022","Attorney General's Departments","London","G7","Unknown","290","260","57210","55770"
"In post","2022","Attorney General's Departments","London","HEO","Heterosexual / straight","340","330","35530","33310"
"In post","2022","Attorney General's Departments","London","HEO","LGBO","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","London","HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","London","HEO","Unknown","75","75","34680","33930"
"In post","2022","Attorney General's Departments","London","SCS level","Heterosexual / straight","170","160","87400","82110"
"In post","2022","Attorney General's Departments","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","London","SCS level","Undeclared","20","15","[c]","[c]"
"In post","2022","Attorney General's Departments","London","SCS level","Unknown","55","50","88470","79880"
"In post","2022","Attorney General's Departments","London","SEO","Heterosexual / straight","160","155","40700","40000"
"In post","2022","Attorney General's Departments","London","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","London","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","London","SEO","Unknown","45","45","40480","40000"
"In post","2022","Attorney General's Departments","Outside London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","AO","Heterosexual / straight","795","730","22450","22200"
"In post","2022","Attorney General's Departments","Outside London","AO","LGBO","55","55","22090","22200"
"In post","2022","Attorney General's Departments","Outside London","AO","Undeclared","40","35","22290","22200"
"In post","2022","Attorney General's Departments","Outside London","AO","Unknown","200","175","22570","22200"
"In post","2022","Attorney General's Departments","Outside London","EO","Heterosexual / straight","800","745","27200","26970"
"In post","2022","Attorney General's Departments","Outside London","EO","LGBO","50","50","26800","26220"
"In post","2022","Attorney General's Departments","Outside London","EO","Undeclared","35","35","27110","26220"
"In post","2022","Attorney General's Departments","Outside London","EO","Unknown","210","190","28110","28430"
"In post","2022","Attorney General's Departments","Outside London","G6","Heterosexual / straight","135","130","70110","67520"
"In post","2022","Attorney General's Departments","Outside London","G6","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Outside London","G6","Unknown","45","45","73360","70890"
"In post","2022","Attorney General's Departments","Outside London","G7","Heterosexual / straight","1540","1435","53970","53050"
"In post","2022","Attorney General's Departments","Outside London","G7","LGBO","50","50","55570","55610"
"In post","2022","Attorney General's Departments","Outside London","G7","Undeclared","60","55","53480","53050"
"In post","2022","Attorney General's Departments","Outside London","G7","Unknown","530","465","56610","55610"
"In post","2022","Attorney General's Departments","Outside London","HEO","Heterosexual / straight","465","445","34270","33310"
"In post","2022","Attorney General's Departments","Outside London","HEO","LGBO","25","25","[c]","[c]"
