"Status","Year","Disability","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","130","115","31710","30950"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","Heterosexual / straight","290","270","28470","25100"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","LGBO","35","30","27110","24920"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","Undeclared","50","45","30580","27430"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","Heterosexual / straight","345","335","49620","54700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","LGBO","90","85","46430","46070"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","Undeclared","60","55","50150","54700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","230","220","36450","33300"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","LGBO","30","30","37910","35220"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","Heterosexual / straight","5","5","[c]","[c]"
