"Status","Year","Ethnicity","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","London","Heterosexual / straight","575","540","44330","50500"
"In post","2022","Asian","Attorney General's Departments","London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","Unknown","65","55","44890","40000"
"In post","2022","Asian","Attorney General's Departments","Outside London","Heterosexual / straight","310","290","39930","38760"
"In post","2022","Asian","Attorney General's Departments","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Outside London","Unknown","55","45","40400","39680"
"In post","2022","Asian","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","Heterosexual / straight","400","395","47610","42200"
"In post","2022","Asian","Cabinet Office","London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","Heterosexual / straight","95","95","37150","34500"
"In post","2022","Asian","Cabinet Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","Heterosexual / straight","40","40","47660","40900"
"In post","2022","Asian","Chancellor's other departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","Heterosexual / straight","95","95","48420","41670"
"In post","2022","Asian","Competition and Markets Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","Undeclared","10","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","560","550","43600","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","LGBO","30","30","43750","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","Undeclared","35","35","44760","40220"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","245","235","32240","30470"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","35","30","26530","21470"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","Heterosexual / straight","130","130","44770","38280"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","London","Heterosexual / straight","260","250","44220","40780"
"In post","2022","Asian","Department for Education","London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education","London","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education","Outside London","Heterosexual / straight","490","480","37250","36500"
"In post","2022","Asian","Department for Education","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Department for Education","Outside London","Unknown","40","40","41830","39100"
"In post","2022","Asian","Department for Education","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Overseas","Undeclared","[c]","[c]","[c]","[c]"
