"Status","Year","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","545","505","32170","29290"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","1040","980","32410","29290"
"In post","2022","Declared disabled","Cheshire","465","420","30370","27570"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","250","225","26730","27570"
"In post","2022","Declared disabled","Cumbria","260","235","28950","25930"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","1740","1600","30220","27570"
"In post","2022","Declared disabled","Devon","1055","945","29250","27570"
"In post","2022","Declared disabled","Dorset and Somerset","660","600","29460","27570"
"In post","2022","Declared disabled","East Anglia","1475","1350","29690","27570"
"In post","2022","Declared disabled","East Wales","1895","1750","32260","27570"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","550","490","27730","27380"
"In post","2022","Declared disabled","Eastern Scotland","2060","1915","33870","28990"
"In post","2022","Declared disabled","Essex","685","620","30280","29290"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","3025","2855","34850","32380"
"In post","2022","Declared disabled","Greater Manchester","2395","2210","30950","27570"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","1655","1495","30650","27570"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","480","440","28870","27570"
"In post","2022","Declared disabled","Highlands and Islands","180","160","28940","27570"
"In post","2022","Declared disabled","Inner London - East","1860","1760","38740","33440"
"In post","2022","Declared disabled","Inner London - West","5455","5275","45430","40600"
"In post","2022","Declared disabled","Kent","995","920","29870","29260"
"In post","2022","Declared disabled","Lancashire","2065","1850","27880","27570"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","805","725","27210","26830"
"In post","2022","Declared disabled","Lincolnshire","415","385","28500","27570"
"In post","2022","Declared disabled","Merseyside","2500","2245","28770","26820"
"In post","2022","Declared disabled","North Eastern Scotland","135","125","33920","27750"
"In post","2022","Declared disabled","North Yorkshire","490","460","31710","27570"
"In post","2022","Declared disabled","Northern Ireland","340","315","29440","26820"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","2600","2295","28260","26820"
"In post","2022","Declared disabled","Outer London - East and North East","530","490","30950","31060"
"In post","2022","Declared disabled","Outer London - South","1205","1130","37480","33230"
"In post","2022","Declared disabled","Outer London - West and North West","880","810","32430","31060"
"In post","2022","Declared disabled","Overseas","235","235","47790","44970"
"In post","2022","Declared disabled","Shropshire and Staffordshire","1170","1070","29900","27570"
"In post","2022","Declared disabled","South Yorkshire","1310","1175","30610","27570"
"In post","2022","Declared disabled","Southern Scotland","535","475","29180","26990"
"In post","2022","Declared disabled","Surrey, East and West Sussex","1035","940","30070","27570"
