"Status","Year","Age","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","AA/AO","Female","45","40","24260","24080"
"In post","2022","16-19","London","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","16-19","London","EO","Female","35","35","26960","27380"
"In post","2022","16-19","London","EO","Male","35","35","26330","25170"
"In post","2022","16-19","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","AA/AO","Female","425","410","21270","21250"
"In post","2022","16-19","Outside London","AA/AO","Male","390","375","21180","21250"
"In post","2022","16-19","Outside London","EO","Female","85","85","24370","25000"
"In post","2022","16-19","Outside London","EO","Male","145","145","21460","20480"
"In post","2022","16-19","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Outside London","Unknown","Male","35","35","18490","17590"
"In post","2022","16-19","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Male","25","25","[c]","[c]"
"In post","2022","20-29","London","AA/AO","Female","1415","1380","25970","25110"
"In post","2022","20-29","London","AA/AO","Male","940","930","26500","25110"
"In post","2022","20-29","London","EO","Female","3315","3270","29380","28670"
"In post","2022","20-29","London","EO","Male","2185","2170","29360","28700"
"In post","2022","20-29","London","G6/G7","Female","2025","2020","55410","54070"
"In post","2022","20-29","London","G6/G7","Male","1780","1775","56030","54600"
"In post","2022","20-29","London","SCS level","Female","5","5","[c]","[c]"
"In post","2022","20-29","London","SCS level","Male","5","5","[c]","[c]"
"In post","2022","20-29","London","SEO/HEO","Female","6635","6605","36130","35050"
"In post","2022","20-29","London","SEO/HEO","Male","5210","5200","36330","35050"
"In post","2022","20-29","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","London","Unknown","Female","355","350","28870","27060"
"In post","2022","20-29","London","Unknown","Male","80","80","28140","27060"
"In post","2022","20-29","Outside London","AA/AO","Female","12770","12270","22250","21260"
"In post","2022","20-29","Outside London","AA/AO","Male","11390","11240","22870","21270"
"In post","2022","20-29","Outside London","EO","Female","9785","9625","26770","26820"
"In post","2022","20-29","Outside London","EO","Male","7745","7720","26660","26820"
"In post","2022","20-29","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Outside London","G6/G7","Female","645","640","52120","50210"
"In post","2022","20-29","Outside London","G6/G7","Male","540","540","53180","53000"
"In post","2022","20-29","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Outside London","SEO/HEO","Female","6985","6925","33340","33000"
"In post","2022","20-29","Outside London","SEO/HEO","Male","6190","6170","33580","33080"
"In post","2022","20-29","Outside London","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Outside London","Unknown","Female","2650","2595","25220","24090"
"In post","2022","20-29","Outside London","Unknown","Male","780","770","25940","24800"
"In post","2022","20-29","Overseas","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","20-29","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Overseas","EO","Female","15","15","[c]","[c]"
"In post","2022","20-29","Overseas","EO","Male","10","10","[c]","[c]"
"In post","2022","20-29","Overseas","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","20-29","Overseas","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","20-29","Overseas","SEO/HEO","Female","135","135","34480","33230"
"In post","2022","20-29","Overseas","SEO/HEO","Male","115","115","35230","33230"
"In post","2022","20-29","Overseas","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Overseas","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","EO","Female","55","55","28180","27570"
"In post","2022","20-29","Unknown","EO","Male","45","45","27480","27570"
"In post","2022","20-29","Unknown","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","SEO/HEO","Female","155","155","31080","29250"
"In post","2022","20-29","Unknown","SEO/HEO","Male","125","125","31080","29250"
"In post","2022","20-29","Unknown","Unknown","Female","60","60","25960","28680"
"In post","2022","20-29","Unknown","Unknown","Male","315","315","28700","28980"
