"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Westminster","London","10","10","51300","53360"
"In post","2022","Analysis","Commercial","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Bristol, City of","Outside London","15","15","36370","36500"
"In post","2022","Analysis","Digital, Data and Technology","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","Outside London","15","15","38370","36530"
"In post","2022","Analysis","Digital, Data and Technology","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Central Valleys","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","City of Edinburgh","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Coventry","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Darlington","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Manchester","Outside London","10","10","38550","37590"
"In post","2022","Analysis","Digital, Data and Technology","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Sheffield","Outside London","25","20","43580","42210"
"In post","2022","Analysis","Digital, Data and Technology","Swindon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tower Hamlets","London","10","10","55810","56120"
"In post","2022","Analysis","Digital, Data and Technology","Westminster","London","50","50","48860","45250"
"In post","2022","Analysis","Digital, Data and Technology","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Birmingham","Outside London","15","15","50150","46390"
"In post","2022","Analysis","Economics","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Camden and City of London","London","30","30","63720","60150"
"In post","2022","Analysis","Economics","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","City of Edinburgh","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Croydon","London","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Glasgow City","Outside London","10","10","48610","47000"
"In post","2022","Analysis","Economics","Greater Manchester South West","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","Hackney and Newham","London","20","20","48860","37930"
"In post","2022","Analysis","Economics","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Leeds","Outside London","25","25","40510","36430"
"In post","2022","Analysis","Economics","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Manchester","Outside London","45","45","40410","34180"
"In post","2022","Analysis","Economics","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Monmouthshire and Newport","Outside London","130","130","33890","30710"
"In post","2022","Analysis","Economics","Sefton","Outside London","[c]","[c]","[c]","[c]"
