"Status","Year","Organisation","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","AA","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","HEO","25","25","34650","36130"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Glasgow City","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","EO","25","20","24730","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","HEO","35","35","32220","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","SEO","15","15","40550","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bournemouth, Christchurch and Poole","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","EO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","HEO","25","25","31880","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","EO","30","30","24770","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","G6","[c]","[c]","[c]","[c]"
