"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","30","30","21220","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","105","100","25290","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","85","80","52190","49040"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","245","235","33160","30660"
"In post","2022","Analysis","Companies House","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","SEO/HEO","20","20","38780","36240"
"In post","2022","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6/G7","85","80","64210","60210"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","15","15","107070","97750"
"In post","2022","Analysis","Competition and Markets Authority","SEO/HEO","35","35","37830","34870"
"In post","2022","Analysis","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","AA/AO","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","G6/G7","210","195","50550","47050"
"In post","2022","Analysis","Defence Science and Technology Laboratory","SEO/HEO","290","280","34960","38070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","35","35","27910","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","65","60","61670","57850"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","140","135","36890","35640"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","75","75","57700","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","60","60","37770","38020"
"In post","2022","Analysis","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","EO","15","15","26930","25000"
"In post","2022","Analysis","Department for Education (excl. agencies)","G6/G7","75","70","54760","53420"
"In post","2022","Analysis","Department for Education (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","SEO/HEO","105","100","38700","40230"
"In post","2022","Analysis","Department for International Trade","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","G6/G7","110","110","55890","51970"
"In post","2022","Analysis","Department for International Trade","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SEO/HEO","105","105","33560","31800"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","25","25","28330","27850"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","110","105","57080","53630"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","80","80","35210","34000"
"In post","2022","Analysis","Department for Transport (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","EO","30","30","29550","29970"
"In post","2022","Analysis","Department for Transport (excl. agencies)","G6/G7","160","150","57610","54760"
"In post","2022","Analysis","Department for Transport (excl. agencies)","SCS level","15","15","77140","77340"
"In post","2022","Analysis","Department for Transport (excl. agencies)","SEO/HEO","135","130","37820","35700"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","AA/AO","50","45","22460","21260"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","EO","35","35","28850","27660"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","G6/G7","200","185","59530","57230"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","SCS level","10","10","78760","78190"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","SEO/HEO","335","325","36380","36480"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","EO","25","20","27000","27270"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","G6/G7","255","245","57620","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","SCS level","20","20","82600","76870"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","SEO/HEO","105","100","35530","32790"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","AA/AO","20","15","21640","21840"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","EO","15","10","26330","26130"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","SEO/HEO","25","25","35250","33350"
"In post","2022","Analysis","Education and Skills Funding Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","G6/G7","10","10","55770","55300"
"In post","2022","Analysis","Food Standards Agency","SEO/HEO","30","30","36520","37350"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","35","35","66800","65590"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","15","15","49780","48860"
"In post","2022","Analysis","Government Actuary's Department","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","EO","10","10","28720","28230"
"In post","2022","Analysis","Government Actuary's Department","G6/G7","120","105","86270","80750"
"In post","2022","Analysis","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
