"Status","Year","Organisation","Parent_department","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Scotland","Outside London","110","100","32650","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","105","95","28840","26380"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","Outside London","40","40","34710","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","London","190","180","42690","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North East (England)","Outside London","140","130","29910","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","140","130","30510","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Scotland","Outside London","90","80","31610","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South East (England)","Outside London","30","30","34780","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South West (England)","Outside London","55","50","34280","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Wales","Outside London","85","80","30970","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Outside London","80","75","31660","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Outside London","70","65","31460","30950"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Midlands (England)","Outside London","85","80","32730","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","Outside London","150","140","31170","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","London","105","105","35320","31800"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","Outside London","55","50","30900","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","Outside London","305","290","27460","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","Outside London","140","135","32110","27350"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","Outside London","770","735","33060","28770"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","Outside London","440","420","29130","25100"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Unknown","25","25","29460","25520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","Outside London","330","305","28300","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","Outside London","285","265","29680","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Outside London","225","215","28910","25400"
"In post","2022","Attorney General's Office","Attorney General's Departments","London","London","45","45","51580","51250"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East Midlands (England)","Outside London","35","35","52570","38870"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East of England","Outside London","95","90","52160","50450"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","London","London","6425","6340","50120","47050"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","North East (England)","Outside London","475","450","30530","25550"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","North West (England)","Outside London","535","525","47100","40580"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Northern Ireland","Outside London","10","10","31770","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Scotland","Outside London","295","290","42850","33280"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","South East (England)","Outside London","235","225","45170","34640"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","South West (England)","Outside London","240","235","54080","49700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Unknown","475","475","37420","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Wales","Outside London","80","80","42000","37300"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","West Midlands (England)","Outside London","150","150","58600","54010"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Yorkshire and The Humber","Outside London","870","835","38510","33300"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East of England","Outside London","480","455","34470","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","South West (England)","Outside London","165","155","33370","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","London","London","80","80","44120","37910"
"In post","2022","Charity Commission","Charity Commission","North West (England)","Outside London","345","325","31850","29160"
"In post","2022","Charity Commission","Charity Commission","South West (England)","Outside London","35","35","31780","29540"
"In post","2022","Charity Commission","Charity Commission","Wales","Outside London","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","London","London","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Northern Ireland","Outside London","25","25","26210","24500"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Scotland","Outside London","45","45","25880","24500"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Wales","Outside London","1080","1000","31180","25460"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","London","London","795","770","61480","57060"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Northern Ireland","Outside London","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Scotland","Outside London","55","55","58200","55860"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Wales","Outside London","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Scotland","Outside London","320","295","27620","25120"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","East Midlands (England)","Outside London","10","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","East of England","Outside London","160","155","39010","38330"
