"Status","Year","Ethnicity","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","EO","Heterosexual / straight","70","65","28180","27850"
"In post","2022","Asian","Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","G6","Heterosexual / straight","40","40","70490","67850"
"In post","2022","Asian","Analysis","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","G7","Heterosexual / straight","130","125","55950","54760"
"In post","2022","Asian","Analysis","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","G7","Undeclared","15","10","[c]","[c]"
"In post","2022","Asian","Analysis","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","HEO","Heterosexual / straight","165","165","34680","34040"
"In post","2022","Asian","Analysis","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SEO","Heterosexual / straight","105","100","41630","41400"
"In post","2022","Asian","Analysis","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","EO","Heterosexual / straight","40","40","27100","26820"
"In post","2022","Asian","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G7","Heterosexual / straight","40","35","57580","55460"
"In post","2022","Asian","Commercial","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","HEO","Heterosexual / straight","70","70","33170","33330"
"In post","2022","Asian","Commercial","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SEO","Heterosexual / straight","75","75","41910","41070"
"In post","2022","Asian","Commercial","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AO","Heterosexual / straight","30","30","21600","21250"
"In post","2022","Asian","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AO","Undeclared","[c]","[c]","[c]","[c]"
