"Status","Year","Age","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Cheshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Devon","Outside London","Heterosexual / straight","15","15","[c]","[c]"
