"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","London","AA/AO","Female","35","30","24630","25000"
"In post","2022","Analysis","London","AA/AO","Male","35","30","24210","23690"
"In post","2022","Analysis","London","EO","Female","150","150","28690","28310"
"In post","2022","Analysis","London","EO","Male","150","150","29000","28820"
"In post","2022","Analysis","London","G6/G7","Female","710","655","61660","60240"
"In post","2022","Analysis","London","G6/G7","Male","900","885","62830","59540"
"In post","2022","Analysis","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","SCS level","Female","65","60","87060","81000"
"In post","2022","Analysis","London","SCS level","Male","80","75","96130","83360"
"In post","2022","Analysis","London","SEO/HEO","Female","720","705","38440","37930"
"In post","2022","Analysis","London","SEO/HEO","Male","905","895","38330","37930"
"In post","2022","Analysis","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","AA/AO","Female","100","95","20950","21260"
"In post","2022","Analysis","Outside London","AA/AO","Male","90","90","20840","21260"
"In post","2022","Analysis","Outside London","EO","Female","295","270","25730","25120"
"In post","2022","Analysis","Outside London","EO","Male","265","260","25740","25120"
"In post","2022","Analysis","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","G6/G7","Female","515","475","54090","51210"
"In post","2022","Analysis","Outside London","G6/G7","Male","675","655","54720","52150"
"In post","2022","Analysis","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","SCS level","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Outside London","SCS level","Male","30","30","82310","75210"
"In post","2022","Analysis","Outside London","SEO/HEO","Female","1350","1270","34980","35450"
"In post","2022","Analysis","Outside London","SEO/HEO","Male","1330","1305","35030","35000"
"In post","2022","Analysis","Outside London","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","Commercial","London","AA/AO","Male","25","20","[c]","[c]"
"In post","2022","Commercial","London","EO","Female","65","65","28440","28240"
"In post","2022","Commercial","London","EO","Male","45","45","28640","28310"
"In post","2022","Commercial","London","G6/G7","Female","455","445","62940","61380"
"In post","2022","Commercial","London","G6/G7","Male","505","500","64720","63870"
"In post","2022","Commercial","London","SCS level","Female","70","70","104360","96890"
"In post","2022","Commercial","London","SCS level","Male","130","125","120620","117750"
"In post","2022","Commercial","London","SEO/HEO","Female","290","285","38680","40140"
"In post","2022","Commercial","London","SEO/HEO","Male","260","255","40670","40650"
"In post","2022","Commercial","Outside London","AA/AO","Female","125","110","22620","21830"
"In post","2022","Commercial","Outside London","AA/AO","Male","125","115","22520","21640"
"In post","2022","Commercial","Outside London","EO","Female","390","365","26210","26350"
"In post","2022","Commercial","Outside London","EO","Male","250","245","26540","26350"
