"Status","Year","Age","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Female","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Cabinet Office","Male","10","10","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Female","5","5","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scottish Government","Male","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Attorney General's Departments","Female","25","25","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Attorney General's Departments","Male","10","10","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Ministry of Defence","Male","15","15","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Ministry of Defence","Female","20","20","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Ministry of Defence","Male","85","85","18400","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Female","5","5","[c]","[c]"
