"Status","Year","Ethnicity","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","London","Female","80","80","40460","37640"
"In post","2022","Asian","Commercial","London","Male","55","55","43260","40650"
"In post","2022","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Outside London","Female","85","85","34490","32470"
"In post","2022","Asian","Commercial","Outside London","Male","80","75","38150","34570"
"In post","2022","Asian","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","Female","90","85","41150","38160"
"In post","2022","Asian","Communications","London","Male","55","55","41780","40440"
"In post","2022","Asian","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","Female","30","30","36220","34260"
"In post","2022","Asian","Communications","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Male","10","10","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Female","205","170","27800","25110"
"In post","2022","Asian","Counter Fraud","London","Male","120","120","31730","31060"
"In post","2022","Asian","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outside London","Female","165","145","26790","27570"
"In post","2022","Asian","Counter Fraud","Outside London","Male","130","125","27270","27570"
"In post","2022","Asian","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","Female","260","255","47060","41970"
"In post","2022","Asian","Digital, Data and Technology","London","Male","405","400","47140","43430"
"In post","2022","Asian","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Outside London","Female","270","265","38290","35680"
"In post","2022","Asian","Digital, Data and Technology","Outside London","Male","465","465","39690","36500"
"In post","2022","Asian","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","London","Female","80","75","43110","38020"
"In post","2022","Asian","Economics","London","Male","110","110","47340","43800"
"In post","2022","Asian","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Asian","Economics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","Female","265","255","43050","40050"
"In post","2022","Asian","Finance","London","Male","265","260","45330","42180"
"In post","2022","Asian","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Outside London","Female","225","215","35550","31900"
"In post","2022","Asian","Finance","Outside London","Male","235","230","37160","33330"
"In post","2022","Asian","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Female","245","235","41040","36830"
"In post","2022","Asian","Human Resources","London","Male","90","90","40460","35070"
"In post","2022","Asian","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","Female","145","140","33750","31850"
"In post","2022","Asian","Human Resources","Outside London","Male","70","70","32630","30870"
"In post","2022","Asian","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","Female","10","10","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","Female","80","70","31990","29500"
"In post","2022","Asian","Intelligence Analysis","London","Male","60","60","36160","30320"
"In post","2022","Asian","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","Female","30","25","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","Male","25","25","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","Female","25","25","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","Male","25","25","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
