"Status","Year","Organisation","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Unknown","Scotland","AA","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Unknown","Scotland","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Unknown","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Scotland","G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Scotland","HEO","25","25","34530","36130"
"In post","2022","Accountant in Bankruptcy","Unknown","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Scotland","SEO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","HEO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Scotland","HEO","[c]","[c]","[c]","[c]"
