"Status","Year","Age","Disability","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scotland","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South West (England)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","South West (England)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","East Midlands (England)","AA/AO","30","30","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","East Midlands (England)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","East of England","AA/AO","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","London","AA/AO","40","35","23430","23450"
"In post","2022","16-19","Declared non-disabled","London","EO","40","40","26340","25710"
"In post","2022","16-19","Declared non-disabled","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North East (England)","AA/AO","35","30","21240","21260"
"In post","2022","16-19","Declared non-disabled","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North West (England)","AA/AO","70","70","21220","21250"
"In post","2022","16-19","Declared non-disabled","North West (England)","EO","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
