"Status","Year","Disability","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Female","365","330","31850","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Male","180","175","32800","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","600","550","31840","28920"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","440","430","33190","30700"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","Outside London","Female","295","260","29480","27570"
"In post","2022","Declared disabled","Cheshire","Outside London","Male","170","160","31930","27580"
"In post","2022","Declared disabled","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","Female","160","140","26620","27570"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","Male","95","90","26910","26780"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Outside London","Female","150","130","27790","25190"
"In post","2022","Declared disabled","Cumbria","Outside London","Male","110","105","30530","27280"
"In post","2022","Declared disabled","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Female","1070","960","30460","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Male","670","640","29830","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Devon","Outside London","Female","605","520","28220","27130"
"In post","2022","Declared disabled","Devon","Outside London","Male","450","425","30620","27570"
"In post","2022","Declared disabled","Devon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","Female","375","335","28510","27570"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","Male","285","270","30710","27680"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Anglia","Outside London","Female","840","750","28730","27570"
"In post","2022","Declared disabled","East Anglia","Outside London","Male","635","600","30960","28210"
"In post","2022","Declared disabled","East Anglia","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Wales","Outside London","Female","1140","1030","31550","27570"
"In post","2022","Declared disabled","East Wales","Outside London","Male","755","720","33320","29430"
"In post","2022","Declared disabled","East Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","Female","310","265","27480","27570"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","Male","240","225","28050","27000"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Eastern Scotland","Outside London","Female","1195","1095","33290","27570"
"In post","2022","Declared disabled","Eastern Scotland","Outside London","Male","860","820","34670","31540"
"In post","2022","Declared disabled","Eastern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Essex","Outside London","Female","465","415","29840","29290"
"In post","2022","Declared disabled","Essex","Outside London","Male","220","205","31190","29290"
"In post","2022","Declared disabled","Essex","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","1605","1475","33160","29720"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","1420","1380","36770","33370"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester","Outside London","Female","1410","1265","30400","27570"
"In post","2022","Declared disabled","Greater Manchester","Outside London","Male","985","945","31730","27570"
"In post","2022","Declared disabled","Greater Manchester","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","Outside London","Female","930","815","29940","27570"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","Outside London","Male","725","680","31560","27570"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","315","285","28440","27570"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","165","155","29690","27570"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Highlands and Islands","Outside London","Female","100","90","28320","27570"
"In post","2022","Declared disabled","Highlands and Islands","Outside London","Male","75","70","29760","27570"
"In post","2022","Declared disabled","Highlands and Islands","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inner London - East","London","Female","1115","1040","37710","31880"
"In post","2022","Declared disabled","Inner London - East","London","Male","745","720","40290","36020"
"In post","2022","Declared disabled","Inner London - East","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inner London - West","London","Female","3160","3025","44640","40210"
"In post","2022","Declared disabled","Inner London - West","London","Male","2290","2255","46520","41750"
"In post","2022","Declared disabled","Inner London - West","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Kent","Outside London","Female","575","520","29420","28640"
"In post","2022","Declared disabled","Kent","Outside London","Male","420","400","30480","29290"
"In post","2022","Declared disabled","Kent","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Lancashire","Outside London","Female","1290","1125","27610","27570"
"In post","2022","Declared disabled","Lancashire","Outside London","Male","775","725","28330","27570"
"In post","2022","Declared disabled","Lancashire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","Outside London","Female","510","450","27000","26310"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","Outside London","Male","290","275","27570","27130"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Lincolnshire","Outside London","Female","245","220","27410","26910"
"In post","2022","Declared disabled","Lincolnshire","Outside London","Male","170","160","30050","27570"
"In post","2022","Declared disabled","Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Merseyside","Outside London","Female","1610","1400","28500","26820"
"In post","2022","Declared disabled","Merseyside","Outside London","Male","890","840","29250","26780"
"In post","2022","Declared disabled","Merseyside","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North Eastern Scotland","Outside London","Female","75","70","30090","27570"
"In post","2022","Declared disabled","North Eastern Scotland","Outside London","Male","60","55","38920","33070"
"In post","2022","Declared disabled","North Eastern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North Yorkshire","Outside London","Female","295","275","32460","27570"
"In post","2022","Declared disabled","North Yorkshire","Outside London","Male","195","185","30580","27570"
"In post","2022","Declared disabled","North Yorkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Outside London","Female","185","170","30140","26820"
"In post","2022","Declared disabled","Northern Ireland","Outside London","Male","150","145","28590","26820"
"In post","2022","Declared disabled","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","Outside London","Female","1605","1370","27700","26590"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","Outside London","Male","995","930","29170","26820"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outer London - East and North East","London","Female","360","325","30700","31060"
"In post","2022","Declared disabled","Outer London - East and North East","London","Male","170","165","31490","31060"
"In post","2022","Declared disabled","Outer London - East and North East","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outer London - South","London","Female","740","680","35510","31060"
"In post","2022","Declared disabled","Outer London - South","London","Male","465","450","40600","36620"
"In post","2022","Declared disabled","Outer London - South","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outer London - West and North West","London","Female","495","445","31910","31060"
"In post","2022","Declared disabled","Outer London - West and North West","London","Male","385","360","33100","31060"
"In post","2022","Declared disabled","Outer London - West and North West","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Overseas","Female","95","95","47850","51500"
"In post","2022","Declared disabled","Overseas","Overseas","Male","140","140","47750","43440"
"In post","2022","Declared disabled","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Shropshire and Staffordshire","Outside London","Female","700","625","29470","27570"
"In post","2022","Declared disabled","Shropshire and Staffordshire","Outside London","Male","470","445","30540","27570"
"In post","2022","Declared disabled","Shropshire and Staffordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","South Yorkshire","Outside London","Female","815","710","29960","27570"
"In post","2022","Declared disabled","South Yorkshire","Outside London","Male","495","465","31660","27570"
"In post","2022","Declared disabled","South Yorkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Southern Scotland","Outside London","Female","345","300","28750","26820"
"In post","2022","Declared disabled","Southern Scotland","Outside London","Male","190","175","29960","27370"
"In post","2022","Declared disabled","Southern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Surrey, East and West Sussex","Outside London","Female","620","555","29440","27570"
"In post","2022","Declared disabled","Surrey, East and West Sussex","Outside London","Male","415","385","31020","27720"
"In post","2022","Declared disabled","Surrey, East and West Sussex","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Tees Valley and Durham","Outside London","Female","780","675","27810","27570"
"In post","2022","Declared disabled","Tees Valley and Durham","Outside London","Male","450","420","28930","27560"
"In post","2022","Declared disabled","Tees Valley and Durham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Female","95","90","29970","27570"
"In post","2022","Declared disabled","Unknown","Unknown","Male","55","50","36830","30650"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","West Central Scotland","Outside London","Female","1130","990","28910","27230"
"In post","2022","Declared disabled","West Central Scotland","Outside London","Male","805","760","30560","27570"
"In post","2022","Declared disabled","West Central Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","West Midlands","Outside London","Female","1535","1360","29330","27570"
"In post","2022","Declared disabled","West Midlands","Outside London","Male","845","800","31130","27570"
"In post","2022","Declared disabled","West Midlands","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","West Wales and The Valleys","Outside London","Female","1300","1095","25950","24170"
"In post","2022","Declared disabled","West Wales and The Valleys","Outside London","Male","630","590","28130","26780"
"In post","2022","Declared disabled","West Wales and The Valleys","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","West Yorkshire","Outside London","Female","1245","1105","30870","27570"
"In post","2022","Declared disabled","West Yorkshire","Outside London","Male","770","725","32670","27570"
"In post","2022","Declared disabled","West Yorkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Bedfordshire and Hertfordshire","Outside London","Female","1835","1675","32680","29290"
"In post","2022","Declared non-disabled","Bedfordshire and Hertfordshire","Outside London","Male","1315","1280","34500","30700"
"In post","2022","Declared non-disabled","Bedfordshire and Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","3300","3050","31790","28550"
"In post","2022","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","3005","2930","35180","32120"
"In post","2022","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Cheshire","Outside London","Female","1475","1340","30490","27570"
"In post","2022","Declared non-disabled","Cheshire","Outside London","Male","1025","990","32920","30210"
"In post","2022","Declared non-disabled","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Cornwall and Isles of Scilly","Outside London","Female","705","620","27240","27570"
"In post","2022","Declared non-disabled","Cornwall and Isles of Scilly","Outside London","Male","545","530","28640","26750"
"In post","2022","Declared non-disabled","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Cumbria","Outside London","Female","1065","935","27240","24920"
"In post","2022","Declared non-disabled","Cumbria","Outside London","Male","725","705","30220","26440"
"In post","2022","Declared non-disabled","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Derbyshire and Nottinghamshire","Outside London","Female","5105","4590","31590","27570"
"In post","2022","Declared non-disabled","Derbyshire and Nottinghamshire","Outside London","Male","3785","3655","33920","30130"
"In post","2022","Declared non-disabled","Derbyshire and Nottinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Devon","Outside London","Female","3280","2865","31110","27570"
"In post","2022","Declared non-disabled","Devon","Outside London","Male","3480","3345","34920","31860"
"In post","2022","Declared non-disabled","Devon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Dorset and Somerset","Outside London","Female","1845","1650","29380","27570"
"In post","2022","Declared non-disabled","Dorset and Somerset","Outside London","Male","1830","1780","31680","28700"
"In post","2022","Declared non-disabled","Dorset and Somerset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","East Anglia","Outside London","Female","4580","4115","29120","27130"
"In post","2022","Declared non-disabled","East Anglia","Outside London","Male","4200","4070","31760","28800"
"In post","2022","Declared non-disabled","East Anglia","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","East Wales","Outside London","Female","7725","7065","33840","29430"
"In post","2022","Declared non-disabled","East Wales","Outside London","Male","6260","6080","36330","31610"
"In post","2022","Declared non-disabled","East Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
