"Status","Year","Ethnicity","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","25","25","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","30","30","30070","30950"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","70","70","28110","27960"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cabinet Office","London","435","425","47140","41820"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","65","60","36360","32000"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","London","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","30","30","30330","29060"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","London","110","110","48930","42290"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","London","10","10","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","60","55","38030","35540"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","London","340","315","40930","32080"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Outside London","365","335","39580","38180"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","London","50","45","23290","20260"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Outside London","290","285","35670","32960"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","65","60","42790","38510"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","555","550","44620","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","70","65","37770","36740"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","145","145","44740","39020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","London","230","220","44420","40510"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Outside London","345","340","38000","36500"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","220","215","40200","35200"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","115","110","37810","35900"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","London","255","250","43900","38540"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Overseas","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","210","205","44240","39600"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","85","85","34930","31950"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Department for Transport","London","295","290","46070","42470"
"In post","2022","Asian","Department for Transport (excl. agencies)","Department for Transport","Outside London","40","40","35230","30730"
"In post","2022","Asian","Department for Transport (excl. agencies)","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","2545","2315","31380","31060"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","5465","4950","26500","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","135","115","28770","29290"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","200","195","43890","40650"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","70","70","40580","36820"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","90","85","27410","21840"
"In post","2022","Asian","Driver and Vehicle Standards Agency","Department for Transport","London","35","35","30810","30700"
"In post","2022","Asian","Driver and Vehicle Standards Agency","Department for Transport","Outside London","115","110","28160","26780"
"In post","2022","Asian","Education and Skills Funding Agency","Department for Education","London","50","50","43680","40870"
"In post","2022","Asian","Education and Skills Funding Agency","Department for Education","Outside London","180","180","37820","36500"
"In post","2022","Asian","Education and Skills Funding Agency","Department for Education","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","FCDO Services","Foreign, Commonwealth and Development Office","London","10","10","[c]","[c]"
"In post","2022","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","45","45","34000","29600"
"In post","2022","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Food Standards Agency","London","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Food Standards Agency","Outside London","60","60","34330","30810"
"In post","2022","Asian","Food Standards Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","315","305","43720","38230"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","90","90","47000","39640"
"In post","2022","Asian","Forestry and Land Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","Chancellor's other departments","London","35","30","46430","36590"
"In post","2022","Asian","Government Actuary's Department","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Internal Audit Agency","HM Treasury","London","45","40","48120","49750"
"In post","2022","Asian","Government Internal Audit Agency","HM Treasury","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Government Legal Department","Attorney General's Departments","London","290","275","48740","50620"
"In post","2022","Asian","Government Legal Department","Attorney General's Departments","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Government Property Agency","Cabinet Office","London","10","10","[c]","[c]"
"In post","2022","Asian","Government Property Agency","Cabinet Office","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","Department for Work and Pensions","London","10","10","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","Department for Work and Pensions","Outside London","65","60","51030","50360"
"In post","2022","Asian","HM Courts and Tribunals Service","Ministry of Justice","London","705","650","29930","24310"
"In post","2022","Asian","HM Courts and Tribunals Service","Ministry of Justice","Outside London","850","755","24670","20970"
"In post","2022","Asian","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","HM Land Registry","London","50","45","38130","30600"
"In post","2022","Asian","HM Land Registry","HM Land Registry","Outside London","175","165","28920","27130"
"In post","2022","Asian","HM Prison and Probation Service","Ministry of Justice","London","565","545","33730","31890"
"In post","2022","Asian","HM Prison and Probation Service","Ministry of Justice","Outside London","1280","1185","29800","28140"
"In post","2022","Asian","HM Prison and Probation Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","1500","1425","41110","37930"
"In post","2022","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","4135","3915","29750","26820"
"In post","2022","Asian","HM Treasury (excl. agencies)","HM Treasury","London","215","210","45180","40050"
"In post","2022","Asian","HM Treasury (excl. agencies)","HM Treasury","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","HM Treasury (excl. agencies)","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Home Office","Home Office","London","3065","2870","34520","29370"
"In post","2022","Asian","Home Office","Home Office","Outside London","1385","1270","26160","24890"
"In post","2022","Asian","Home Office","Home Office","Overseas","40","40","[c]","[c]"
"In post","2022","Asian","Institute for Apprenticeships and Technical Education","Department for Education","London","10","10","[c]","[c]"
"In post","2022","Asian","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","10","10","[c]","[c]"
"In post","2022","Asian","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","30","30","33350","31010"
"In post","2022","Asian","Legal Aid Agency","Ministry of Justice","London","15","15","[c]","[c]"
"In post","2022","Asian","Legal Aid Agency","Ministry of Justice","Outside London","60","55","23870","20970"
"In post","2022","Asian","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Maritime and Coastguard Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Maritime and Coastguard Agency","Department for Transport","Outside London","55","55","49310","57040"
"In post","2022","Asian","Maritime and Coastguard Agency","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","210","205","42890","35750"
"In post","2022","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","50","50","44470","40860"
"In post","2022","Asian","Met Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","30","30","31890","30930"
"In post","2022","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","London","325","315","37810","37000"
"In post","2022","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","645","625","33290","29670"
"In post","2022","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","15","15","[c]","[c]"
"In post","2022","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","London","420","410","43200","41750"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","130","130","35280","32470"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","National Crime Agency","London","150","150","39660","37860"
"In post","2022","Asian","National Crime Agency","National Crime Agency","Outside London","125","120","34740","36410"
"In post","2022","Asian","National Crime Agency","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Infrastructure Commission","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Records of Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Chancellor's other departments","London","20","20","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
