"Status","Year","Disability","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","EO","60","55","24940","24250"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","HEO","70","65","32420","31240"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","AO","140","130","22010","21300"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","EO","110","105","26060","25190"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","HEO","70","65","31010","30670"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","SEO","35","35","38240","37800"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","EO","75","75","27860","27500"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","G6","60","60","66960","65090"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","G7","150","150","55610","54700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","HEO","90","85","35090","34550"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","SCS level","40","40","90700","76200"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","SEO","65","60","40780","40600"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","AO","55","50","21110","21050"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","EO","50","45","25360","25230"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","G7","45","45","51100","49700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","HEO","70","70","33130","33020"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","SEO","50","45","38690","38420"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","HEO","5","5","[c]","[c]"
