"Status","Year","Ethnicity","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","Female","Heterosexual / straight","620","570","42580","43920"
"In post","2022","Asian","Attorney General's Departments","Female","LGBO","15","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Female","Unknown","90","70","41950","39320"
"In post","2022","Asian","Attorney General's Departments","Male","Heterosexual / straight","270","260","43260","46000"
"In post","2022","Asian","Attorney General's Departments","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Male","Unknown","30","30","45420","51830"
"In post","2022","Asian","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Female","Heterosexual / straight","295","285","44090","40600"
"In post","2022","Asian","Cabinet Office","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Male","Heterosexual / straight","215","215","47230","41850"
"In post","2022","Asian","Cabinet Office","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Female","Undeclared","5","5","[c]","[c]"
