"Status","Year","Function_of_post","Parent_department","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Inner London - West","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Inner London - West","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Inner London - West","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Eastern Scotland","G6/G7","10","10","81030","73920"
"In post","2022","Analysis","Chancellor's other departments","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Inner London - West","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Inner London - West","EO","10","10","28770","28230"
"In post","2022","Analysis","Chancellor's other departments","Inner London - West","G6/G7","120","110","84080","79730"
"In post","2022","Analysis","Chancellor's other departments","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Inner London - West","SEO/HEO","60","60","40810","39360"
"In post","2022","Analysis","Chancellor's other departments","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","G6/G7","80","80","64460","60540"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","SCS level","15","15","107830","97750"
"In post","2022","Analysis","Competition and Markets Authority","Inner London - East","SEO/HEO","30","30","37570","34710"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","EO","15","15","27200","24030"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","SEO/HEO","35","35","36620","36070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
