"Status","Year","Region_london","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","London","AA","Female","Heterosexual / straight","510","445","23030","22460"
"In post","2022","London","AA","Female","LGBO","20","20","[c]","[c]"
"In post","2022","London","AA","Female","Undeclared","70","60","22550","22410"
"In post","2022","London","AA","Female","Unknown","200","180","23600","24080"
"In post","2022","London","AA","Male","Heterosexual / straight","525","510","22950","22460"
"In post","2022","London","AA","Male","LGBO","20","20","[c]","[c]"
"In post","2022","London","AA","Male","Undeclared","70","65","22200","22350"
"In post","2022","London","AA","Male","Unknown","215","205","23610","22900"
"In post","2022","London","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","London","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","London","AO","Female","Heterosexual / straight","3740","3360","25540","25110"
"In post","2022","London","AO","Female","LGBO","190","180","27290","25630"
"In post","2022","London","AO","Female","Undeclared","570","505","25280","25110"
"In post","2022","London","AO","Female","Unknown","1425","1270","26000","25110"
"In post","2022","London","AO","Male","Heterosexual / straight","2740","2665","27670","25630"
"In post","2022","London","AO","Male","LGBO","170","165","27240","25110"
"In post","2022","London","AO","Male","Undeclared","340","325","26570","25630"
"In post","2022","London","AO","Male","Unknown","1065","1025","28260","26110"
"In post","2022","London","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","London","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","London","EO","Female","Heterosexual / straight","8500","7970","30090","30350"
"In post","2022","London","EO","Female","LGBO","470","455","29830","30110"
"In post","2022","London","EO","Female","Undeclared","1160","1070","29900","30150"
"In post","2022","London","EO","Female","Unknown","2430","2250","30230","30750"
"In post","2022","London","EO","Male","Heterosexual / straight","5640","5510","30360","30550"
"In post","2022","London","EO","Male","LGBO","450","445","29920","30120"
"In post","2022","London","EO","Male","Undeclared","835","800","30460","30460"
"In post","2022","London","EO","Male","Unknown","1635","1600","30390","30750"
"In post","2022","London","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","London","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","London","G6","Female","Heterosexual / straight","3105","2910","68630","67100"
"In post","2022","London","G6","Female","LGBO","180","175","68390","66680"
"In post","2022","London","G6","Female","Undeclared","415","395","69160","67310"
"In post","2022","London","G6","Female","Unknown","830","785","68990","66610"
"In post","2022","London","G6","Male","Heterosexual / straight","2895","2845","70010","68700"
"In post","2022","London","G6","Male","LGBO","340","335","67990","66470"
"In post","2022","London","G6","Male","Undeclared","490","475","70410","68930"
"In post","2022","London","G6","Male","Unknown","825","810","71080","68700"
"In post","2022","London","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","London","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","London","G7","Female","Heterosexual / straight","7145","6810","56230","54760"
"In post","2022","London","G7","Female","LGBO","500","490","55380","54210"
