"Status","Year","Disability","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","London","60","60","48970","40860"
"In post","2022","Declared disabled","Analysis","Economics","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","Outside London","65","60","35430","33520"
"In post","2022","Declared disabled","Analysis","Operational Research","London","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","Outside London","35","35","39220","38960"
"In post","2022","Declared disabled","Analysis","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","Outside London","35","35","32860","29270"
"In post","2022","Declared disabled","Analysis","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","London","30","30","43210","41340"
"In post","2022","Declared disabled","Analysis","Social Research","Outside London","75","70","39150","38340"
"In post","2022","Declared disabled","Analysis","Statistics","London","75","70","45120","41180"
"In post","2022","Declared disabled","Analysis","Statistics","Outside London","140","135","40510","38340"
"In post","2022","Declared disabled","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","London","60","60","40580","40650"
"In post","2022","Declared disabled","Commercial","Commercial","Outside London","290","280","37810","36840"
"In post","2022","Declared disabled","Commercial","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Property","London","[c]","[c]","[c]","[c]"
