"Status","Year","Age","Function_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","London","EO","10","10","27100","27680"
"In post","2022","16-19","Analysis","Outside London","AO","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Outside London","EO","10","10","24500","23880"
"In post","2022","16-19","Analysis","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Outside London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","AO","10","10","21530","21250"
"In post","2022","16-19","Counter Fraud","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Outside London","AO","45","45","21250","21250"
"In post","2022","16-19","Debt","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Outside London","AA","10","10","18240","19380"
"In post","2022","16-19","Digital, Data & Technology","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","AO","10","10","21310","21250"
"In post","2022","16-19","Finance","Outside London","EO","20","20","20500","19460"
"In post","2022","16-19","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Outside London","AO","10","10","20720","21300"
"In post","2022","16-19","Grants Management","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","London","AO","10","10","22010","20370"
"In post","2022","16-19","Legal","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Outside London","AO","20","20","21360","22200"
"In post","2022","16-19","Legal","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","London","AA","10","5","21990","22350"
"In post","2022","16-19","No function","London","AO","25","25","25960","25110"
"In post","2022","16-19","No function","London","EO","30","30","25890","25170"
"In post","2022","16-19","No function","Outside London","AA","150","140","19150","18310"
"In post","2022","16-19","No function","Outside London","AO","410","395","22030","21260"
"In post","2022","16-19","No function","Outside London","EO","50","50","26250","27570"
"In post","2022","16-19","No function","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","EO","90","90","18470","18030"
"In post","2022","16-19","Project Delivery","Outside London","Unknown","15","15","18160","17140"
"In post","2022","16-19","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","EO","15","15","25580","26030"
"In post","2022","16-19","Property","Outside London","Unknown","15","15","19130","16630"
"In post","2022","16-19","Security","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Security","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","AA","50","45","21140","21050"
"In post","2022","16-19","Unknown","Outside London","AO","50","50","21960","21680"
"In post","2022","16-19","Unknown","Outside London","EO","20","20","25720","24880"
"In post","2022","16-19","Unknown","Unknown","Unknown","35","35","17940","16450"
"In post","2022","20-29","Analysis","London","AO","50","50","24240","24950"
"In post","2022","20-29","Analysis","London","EO","200","195","28370","28000"
"In post","2022","20-29","Analysis","London","G6","15","15","65060","65440"
"In post","2022","20-29","Analysis","London","G7","315","315","55350","54110"
"In post","2022","20-29","Analysis","London","HEO","770","765","35040","34650"
"In post","2022","20-29","Analysis","London","SEO","210","210","42380","42010"
"In post","2022","20-29","Analysis","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Outside London","AO","110","110","20790","21250"
"In post","2022","20-29","Analysis","Outside London","EO","205","205","25790","25120"
"In post","2022","20-29","Analysis","Outside London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Outside London","G7","80","80","51080","50210"
"In post","2022","20-29","Analysis","Outside London","HEO","735","730","31300","30710"
"In post","2022","20-29","Analysis","Outside London","SEO","300","295","38690","38340"
"In post","2022","20-29","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","London","AO","15","15","23110","23170"
"In post","2022","20-29","Commercial","London","EO","50","50","27910","27520"
"In post","2022","20-29","Commercial","London","G6","20","20","68350","65440"
"In post","2022","20-29","Commercial","London","G7","100","100","56380","54700"
"In post","2022","20-29","Commercial","London","HEO","105","100","33600","34000"
"In post","2022","20-29","Commercial","London","SEO","95","95","41450","40650"
"In post","2022","20-29","Commercial","Outside London","AA","10","5","[c]","[c]"
"In post","2022","20-29","Commercial","Outside London","AO","50","45","21600","21270"
"In post","2022","20-29","Commercial","Outside London","EO","225","225","25880","26350"
"In post","2022","20-29","Commercial","Outside London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Outside London","G7","30","30","53860","49860"
"In post","2022","20-29","Commercial","Outside London","HEO","220","220","31710","31600"
"In post","2022","20-29","Commercial","Outside London","SEO","125","125","38350","38330"
"In post","2022","20-29","Commercial","Outside London","Unknown","30","30","27520","27000"
"In post","2022","20-29","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","EO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","London","AO","35","35","23580","23720"
"In post","2022","20-29","Communications","London","EO","155","150","28000","27270"
"In post","2022","20-29","Communications","London","G6","10","10","65780","66230"
"In post","2022","20-29","Communications","London","G7","75","75","54630","53420"
"In post","2022","20-29","Communications","London","HEO","260","260","34940","34550"
"In post","2022","20-29","Communications","London","SEO","150","150","42220","41710"
"In post","2022","20-29","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","AO","80","80","21240","21250"
"In post","2022","20-29","Communications","Outside London","EO","1045","1035","26660","26820"
"In post","2022","20-29","Communications","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","G7","10","10","50020","49530"
"In post","2022","20-29","Communications","Outside London","HEO","330","325","32760","33080"
"In post","2022","20-29","Communications","Outside London","SEO","55","55","38250","39910"
"In post","2022","20-29","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","HEO","[c]","[c]","[c]","[c]"
