"Status","Year","Disability","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","London","440","410","49380","51510"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","630","580","40070","34480"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","London","520","510","49080","49700"
"In post","2022","Declared disabled","Cabinet Office","Outside London","365","350","37800","33300"
"In post","2022","Declared disabled","Cabinet Office","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","25","20","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","45","45","54170","52190"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","570","555","47120","42630"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","695","650","34040","31000"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","150","145","47480","40510"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","225","215","48780","45250"
"In post","2022","Declared disabled","Department for Education","Outside London","550","525","38620","36500"
"In post","2022","Declared disabled","Department for Education","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","310","300","43070","38750"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","1110","1045","32870","29180"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
