"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","AA","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","AA","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","AA","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","AO","Heterosexual / straight","580","515","21640","21260"
"In post","2022","Asian","East Midlands (England)","AO","LGBO","15","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","AO","Undeclared","40","35","21330","20970"
"In post","2022","Asian","East Midlands (England)","AO","Unknown","100","80","21880","21260"
"In post","2022","Asian","East Midlands (England)","EO","Heterosexual / straight","485","460","27080","27570"
"In post","2022","Asian","East Midlands (England)","EO","LGBO","15","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","EO","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","EO","Unknown","80","70","27370","27570"
"In post","2022","Asian","East Midlands (England)","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G7","Heterosexual / straight","65","65","53870","54160"
"In post","2022","Asian","East Midlands (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","HEO","Heterosexual / straight","225","210","32770","33370"
"In post","2022","Asian","East Midlands (England)","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","HEO","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SEO","Heterosexual / straight","95","95","40490","40180"
"In post","2022","Asian","East Midlands (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","SEO","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Unknown","Heterosexual / straight","70","65","29180","28200"
"In post","2022","Asian","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","AA","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Asian","East of England","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","AO","Heterosexual / straight","270","235","23310","21680"
"In post","2022","Asian","East of England","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","AO","Undeclared","35","30","22920","21680"
"In post","2022","Asian","East of England","AO","Unknown","25","20","[c]","[c]"
