"Status","Year","Ethnicity","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","50","50","34890","30950"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Heterosexual / straight","70","70","28760","27960"
"In post","2022","Asian","Animal and Plant Health Agency","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Heterosexual / straight","450","445","45490","40600"
"In post","2022","Asian","Cabinet Office (excl. agencies)","LGBO","25","25","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Heterosexual / straight","100","95","48690","41980"
"In post","2022","Asian","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Undeclared","10","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Heterosexual / straight","60","55","38080","35840"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Heterosexual / straight","590","550","40410","38000"
"In post","2022","Asian","Crown Prosecution Service","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Unknown","90","80","39790","30120"
"In post","2022","Asian","Defence Electronics and Components Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Heterosexual / straight","305","295","33700","31950"
"In post","2022","Asian","Defence Equipment and Support","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Unknown","45","45","44530","39940"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","555","545","43660","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","25","25","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","35","35","45680","43500"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Heterosexual / straight","145","145","44140","38020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Heterosexual / straight","505","495","40190","36500"
"In post","2022","Asian","Department for Education (excl. agencies)","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Undeclared","30","25","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","300","295","40010","35900"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","10","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","15","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Heterosexual / straight","245","245","43640","38540"
"In post","2022","Asian","Department for International Trade","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","260","255","41190","36340"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Heterosexual / straight","300","300","45140","42470"
"In post","2022","Asian","Department for Transport (excl. agencies)","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Undeclared","10","10","[c]","[c]"
