"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","AA","390","365","20460","20890"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","AO","3530","3210","22910","21260"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","EO","EO","3735","3450","27200","27130"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","G6","315","305","68470","67910"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","G7","1035","995","54750","55210"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","SCS level","75","75","92900","87400"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","HEO","2410","2295","33060","33370"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","SEO","1440","1375","41390","40520"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Unknown","775","695","29470","28200"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","AA","310","285","20100","19810"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","AO","2420","2175","22830","21260"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","EO","1805","1670","27620","27570"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","G6","45","40","72880","71610"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","G7","190","180","55040","53800"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","SCS level","10","10","83450","75840"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","HEO","595","565","33910","33370"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","SEO","335","325","43160","41100"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","Unknown","565","525","29570","28200"
"In post","2022","East Midlands (England)","Lincolnshire","AA/AO","AA","315","300","20040","19810"
"In post","2022","East Midlands (England)","Lincolnshire","AA/AO","AO","1000","930","23300","21380"
"In post","2022","East Midlands (England)","Lincolnshire","EO","EO","750","700","27720","27570"
"In post","2022","East Midlands (England)","Lincolnshire","G6/G7","G6","35","30","71340","67510"
"In post","2022","East Midlands (England)","Lincolnshire","G6/G7","G7","85","85","55030","53360"
"In post","2022","East Midlands (England)","Lincolnshire","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","Lincolnshire","SEO/HEO","HEO","390","375","33410","33300"
"In post","2022","East Midlands (England)","Lincolnshire","SEO/HEO","SEO","230","220","42770","41380"
"In post","2022","East Midlands (England)","Lincolnshire","Unknown","Unknown","210","200","30180","28200"
"In post","2022","East of England","Bedfordshire and Hertfordshire","AA/AO","AA","245","230","21100","21760"
"In post","2022","East of England","Bedfordshire and Hertfordshire","AA/AO","AO","940","880","25820","24290"
"In post","2022","East of England","Bedfordshire and Hertfordshire","EO","EO","1610","1500","29030","29290"
"In post","2022","East of England","Bedfordshire and Hertfordshire","G6/G7","G6","110","110","70540","68500"
"In post","2022","East of England","Bedfordshire and Hertfordshire","G6/G7","G7","300","285","57970","56130"
"In post","2022","East of England","Bedfordshire and Hertfordshire","SCS level","SCS level","40","40","89690","88300"
"In post","2022","East of England","Bedfordshire and Hertfordshire","SEO/HEO","HEO","625","605","35390","35120"
"In post","2022","East of England","Bedfordshire and Hertfordshire","SEO/HEO","SEO","420","405","44000","43810"
"In post","2022","East of England","Bedfordshire and Hertfordshire","Unknown","Unknown","405","375","29580","28200"
"In post","2022","East of England","East Anglia","AA/AO","AA","905","845","20370","20890"
"In post","2022","East of England","East Anglia","AA/AO","AO","3910","3580","24630","21960"
"In post","2022","East of England","East Anglia","EO","EO","3295","3040","27740","27570"
"In post","2022","East of England","East Anglia","G6/G7","G6","185","175","69020","67000"
"In post","2022","East of England","East Anglia","G6/G7","G7","565","545","54250","52330"
"In post","2022","East of England","East Anglia","SCS level","SCS level","65","60","100950","97990"
"In post","2022","East of England","East Anglia","SEO/HEO","HEO","1965","1880","33250","33180"
"In post","2022","East of England","East Anglia","SEO/HEO","SEO","1160","1110","41860","40580"
"In post","2022","East of England","East Anglia","Unknown","Unknown","870","795","28390","26310"
"In post","2022","East of England","Essex","AA/AO","AA","185","170","20450","20480"
"In post","2022","East of England","Essex","AA/AO","AO","1230","1120","24380","24250"
"In post","2022","East of England","Essex","EO","EO","2055","1870","28750","29290"
"In post","2022","East of England","Essex","G6/G7","G6","60","60","70530","67910"
"In post","2022","East of England","Essex","G6/G7","G7","250","235","56980","55210"
"In post","2022","East of England","Essex","SCS level","SCS level","30","25","96170","89220"
"In post","2022","East of England","Essex","SEO/HEO","HEO","650","610","33990","33370"
"In post","2022","East of England","Essex","SEO/HEO","SEO","395","375","42060","40520"
"In post","2022","East of England","Essex","Unknown","Unknown","460","425","28950","26310"
"In post","2022","London","Inner London - East","AA/AO","AA","235","220","23600","22460"
"In post","2022","London","Inner London - East","AA/AO","AO","2420","2215","26760","25110"
"In post","2022","London","Inner London - East","EO","EO","4955","4730","31250","31060"
"In post","2022","London","Inner London - East","G6/G7","G6","1235","1180","72830","73430"
"In post","2022","London","Inner London - East","G6/G7","G7","2735","2655","58730","59160"
"In post","2022","London","Inner London - East","SCS level","SCS level","600","575","97380","91750"
"In post","2022","London","Inner London - East","SEO/HEO","HEO","3460","3365","37440","37610"
"In post","2022","London","Inner London - East","SEO/HEO","SEO","2385","2330","44470","43810"
"In post","2022","London","Inner London - East","Unknown","Unknown","1020","980","35530","34100"
"In post","2022","London","Inner London - West","AA/AO","AA","585","560","23040","22460"
"In post","2022","London","Inner London - West","AA/AO","AO","3430","3260","26550","24560"
"In post","2022","London","Inner London - West","EO","EO","7100","6910","29340","28880"
"In post","2022","London","Inner London - West","G6/G7","G6","7080","6810","68490","66440"
"In post","2022","London","Inner London - West","G6/G7","G7","15690","15230","56140","54700"
"In post","2022","London","Inner London - West","SCS level","SCS level","3715","3600","89840","80050"
"In post","2022","London","Inner London - West","SEO/HEO","HEO","12945","12760","34760","34280"
"In post","2022","London","Inner London - West","SEO/HEO","SEO","9945","9740","42630","41950"
"In post","2022","London","Inner London - West","Unknown","Unknown","280","275","36830","35310"
"In post","2022","London","Outer London - East and North East","AA/AO","AA","270","250","23670","24080"
"In post","2022","London","Outer London - East and North East","AA/AO","AO","1190","1105","27800","25110"
"In post","2022","London","Outer London - East and North East","EO","EO","1745","1615","31310","31060"
"In post","2022","London","Outer London - East and North East","G6/G7","G6","20","20","72890","68300"
"In post","2022","London","Outer London - East and North East","G6/G7","G7","45","45","60640","56870"
"In post","2022","London","Outer London - East and North East","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","London","Outer London - East and North East","SEO/HEO","HEO","290","280","37460","36650"
"In post","2022","London","Outer London - East and North East","SEO/HEO","SEO","125","120","46070","43470"
"In post","2022","London","Outer London - East and North East","Unknown","Unknown","380","360","33530","33700"
"In post","2022","London","Outer London - South","AA/AO","AA","225","200","22230","22460"
"In post","2022","London","Outer London - South","AA/AO","AO","1635","1485","25220","25630"
"In post","2022","London","Outer London - South","EO","EO","3385","3200","30240","30330"
"In post","2022","London","Outer London - South","G6/G7","G6","590","565","73030","74000"
"In post","2022","London","Outer London - South","G6/G7","G7","1325","1290","60280","59930"
"In post","2022","London","Outer London - South","SCS level","SCS level","100","100","88810","82340"
"In post","2022","London","Outer London - South","SEO/HEO","HEO","2450","2365","36610","36620"
"In post","2022","London","Outer London - South","SEO/HEO","SEO","1780","1720","44190","43430"
"In post","2022","London","Outer London - South","Unknown","Unknown","330","310","33460","32090"
"In post","2022","London","Outer London - West and North West","AA/AO","AA","320","280","22960","22460"
"In post","2022","London","Outer London - West and North West","AA/AO","AO","1570","1435","26610","25630"
"In post","2022","London","Outer London - West and North West","EO","EO","3940","3645","29870","30270"
"In post","2022","London","Outer London - West and North West","G6/G7","G6","165","155","70360","68520"
"In post","2022","London","Outer London - West and North West","G6/G7","G7","445","435","56090","55130"
"In post","2022","London","Outer London - West and North West","SCS level","SCS level","65","55","111960","102850"
"In post","2022","London","Outer London - West and North West","SEO/HEO","HEO","1350","1295","34960","35070"
"In post","2022","London","Outer London - West and North West","SEO/HEO","SEO","855","830","43100","41990"
"In post","2022","London","Outer London - West and North West","Unknown","Unknown","420","400","33120","32090"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","AA/AO","AA","565","430","20780","21250"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","AA/AO","AO","8120","6930","21400","21260"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","EO","EO","5970","5460","26960","27250"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","G6/G7","G6","505","490","66770","67860"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","G6/G7","G7","1660","1615","53390","54160"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","SCS level","SCS level","100","100","87050","77900"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","HEO","3480","3325","32740","33080"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","SEO","2270","2175","39680","40180"
"In post","2022","North East (England)","Northumberland, and Tyne and Wear","Unknown","Unknown","580","545","29430","28200"
"In post","2022","North East (England)","Tees Valley and Durham","AA/AO","AA","500","445","20610","20890"
"In post","2022","North East (England)","Tees Valley and Durham","AA/AO","AO","4025","3580","23710","21960"
"In post","2022","North East (England)","Tees Valley and Durham","EO","EO","2460","2230","27510","27570"
"In post","2022","North East (England)","Tees Valley and Durham","G6/G7","G6","115","110","66550","61990"
"In post","2022","North East (England)","Tees Valley and Durham","G6/G7","G7","435","425","53250","50630"
"In post","2022","North East (England)","Tees Valley and Durham","SCS level","SCS level","30","30","86640","80500"
"In post","2022","North East (England)","Tees Valley and Durham","SEO/HEO","HEO","995","945","32530","31990"
"In post","2022","North East (England)","Tees Valley and Durham","SEO/HEO","SEO","695","660","41040","38550"
"In post","2022","North East (England)","Tees Valley and Durham","Unknown","Unknown","600","570","29830","28200"
"In post","2022","North West (England)","Cheshire","AA/AO","AA","165","155","20650","20890"
"In post","2022","North West (England)","Cheshire","AA/AO","AO","1185","1080","23550","21300"
"In post","2022","North West (England)","Cheshire","EO","EO","1370","1300","29770","28840"
"In post","2022","North West (England)","Cheshire","G6/G7","G6","65","65","68770","65590"
"In post","2022","North West (England)","Cheshire","G6/G7","G7","230","220","54250","53690"
"In post","2022","North West (England)","Cheshire","SCS level","SCS level","15","15","85160","80540"
"In post","2022","North West (England)","Cheshire","SEO/HEO","HEO","685","665","36290","36740"
"In post","2022","North West (England)","Cheshire","SEO/HEO","SEO","375","360","43620","45480"
"In post","2022","North West (England)","Cheshire","Unknown","Unknown","290","265","29030","27370"
"In post","2022","North West (England)","Cumbria","AA/AO","AA","80","75","20240","19810"
"In post","2022","North West (England)","Cumbria","AA/AO","AO","870","780","22470","21300"
"In post","2022","North West (England)","Cumbria","EO","EO","600","550","26290","26030"
"In post","2022","North West (England)","Cumbria","G6/G7","G6","20","20","63390","60250"
"In post","2022","North West (England)","Cumbria","G6/G7","G7","90","85","54410","50430"
"In post","2022","North West (England)","Cumbria","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","North West (England)","Cumbria","SEO/HEO","HEO","210","195","31140","30450"
"In post","2022","North West (England)","Cumbria","SEO/HEO","SEO","135","125","39980","37230"
"In post","2022","North West (England)","Cumbria","Unknown","Unknown","310","290","36790","33500"
"In post","2022","North West (England)","Greater Manchester","AA/AO","AA","460","410","20290","20890"
"In post","2022","North West (England)","Greater Manchester","AA/AO","AO","5055","4590","21950","21260"
"In post","2022","North West (England)","Greater Manchester","EO","EO","5995","5650","26910","26820"
"In post","2022","North West (England)","Greater Manchester","G6/G7","G6","640","625","67080","67760"
