"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","AA/AO","Heterosexual / straight","30","30","21800","22200"
"In post","2022","16-19","Attorney General's Departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","EO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
