"Status","Year","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","London","Heterosexual / straight","3320","3140","48920","51250"
"In post","2022","Attorney General's Departments","London","LGBO","270","260","49980","51250"
"In post","2022","Attorney General's Departments","London","Undeclared","265","250","51450","52730"
"In post","2022","Attorney General's Departments","London","Unknown","950","870","52720","54790"
"In post","2022","Attorney General's Departments","Outside London","Heterosexual / straight","3925","3670","40190","38000"
"In post","2022","Attorney General's Departments","Outside London","LGBO","205","200","36680","28430"
"In post","2022","Attorney General's Departments","Outside London","Undeclared","160","155","38030","32380"
"In post","2022","Attorney General's Departments","Outside London","Unknown","1105","990","43870","48830"
"In post","2022","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","London","Heterosexual / straight","3180","3125","52710","54700"
"In post","2022","Cabinet Office","London","LGBO","370","370","48290","54700"
"In post","2022","Cabinet Office","London","Undeclared","400","390","51220","54700"
"In post","2022","Cabinet Office","London","Unknown","2650","2630","47320","34550"
"In post","2022","Cabinet Office","Outside London","Heterosexual / straight","2195","2105","39380","34420"
"In post","2022","Cabinet Office","Outside London","LGBO","180","175","35910","32000"
"In post","2022","Cabinet Office","Outside London","Undeclared","165","155","39980","34640"
"In post","2022","Cabinet Office","Outside London","Unknown","1440","1415","47730","38980"
"In post","2022","Cabinet Office","Unknown","Heterosexual / straight","145","145","41900","37300"
"In post","2022","Cabinet Office","Unknown","LGBO","20","20","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Unknown","300","295","34900","29250"
"In post","2022","Chancellor's other departments","London","Heterosexual / straight","255","245","62080","55000"
"In post","2022","Chancellor's other departments","London","LGBO","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","London","Undeclared","70","65","61940","53640"
"In post","2022","Chancellor's other departments","London","Unknown","20","20","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","Heterosexual / straight","50","50","48670","43250"
"In post","2022","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Heterosexual / straight","45","45","43990","37910"
"In post","2022","Charity Commission","London","LGBO","5","5","[c]","[c]"
"In post","2022","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Unknown","30","30","43990","37910"
"In post","2022","Charity Commission","Outside London","Heterosexual / straight","200","190","32910","29160"
"In post","2022","Charity Commission","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Charity Commission","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Charity Commission","Outside London","Unknown","160","150","30740","29160"
"In post","2022","Competition and Markets Authority","London","Heterosexual / straight","645","620","61100","56630"
"In post","2022","Competition and Markets Authority","London","LGBO","55","55","59330","56360"
"In post","2022","Competition and Markets Authority","London","Undeclared","60","60","63050","60600"
"In post","2022","Competition and Markets Authority","London","Unknown","30","30","70220","62980"
"In post","2022","Competition and Markets Authority","Outside London","Heterosexual / straight","55","55","58430","55860"
"In post","2022","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","4305","4195","49520","50590"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","LGBO","485","480","47060","41500"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","Undeclared","555","540","49700","53380"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","Unknown","620","605","44860","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","5450","5155","37000","34500"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","370","365","34760","31580"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","760","715","38900","38010"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","1505","1415","32150","27380"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","LGBO","[c]","[c]","[c]","[c]"
