"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","Heterosexual / straight","2450","2240","22650","21260"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","LGBO","170","165","23020","21260"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","Undeclared","285","250","22570","21260"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","Unknown","1020","920","22680","21260"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Heterosexual / straight","2405","2220","27230","27130"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","EO","LGBO","180","170","27020","26850"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Undeclared","305","275","27490","27130"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Unknown","845","785","27060","26820"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","Heterosexual / straight","1005","965","57990","55210"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","LGBO","55","55","58870","55210"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","Undeclared","115","110","57910","55210"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","Unknown","175","165","57460","55210"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Heterosexual / straight","60","60","90240","87210"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","Heterosexual / straight","2605","2475","36380","33840"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","LGBO","160","155","34920","33370"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","Undeclared","375","355","36810","34050"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","Unknown","705","675","35350","33370"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Heterosexual / straight","520","470","29530","28200"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","LGBO","40","40","29130","26310"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Undeclared","55","45","31310","31420"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Unknown","160","135","28710","26310"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","Heterosexual / straight","1820","1645","22460","21260"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","LGBO","105","100","22780","21260"
