"Status","Year","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","AA/AO","7965","7260","22590","21260"
"In post","2022","East Midlands (England)","EO","6290","5815","27390","27570"
"In post","2022","East Midlands (England)","G6/G7","1700","1630","58120","55210"
"In post","2022","East Midlands (England)","SCS level","95","90","91430","87210"
"In post","2022","East Midlands (England)","SEO/HEO","5400","5150","36440","33900"
"In post","2022","East Midlands (England)","Unknown","1550","1420","29600","28200"
"In post","2022","East of England","AA/AO","7420","6825","24000","21860"
"In post","2022","East of England","EO","6960","6415","28340","27570"
"In post","2022","East of England","G6/G7","1470","1410","59220","55610"
"In post","2022","East of England","SCS level","130","125","96490","95070"
"In post","2022","East of England","SEO/HEO","5215","4985","37040","35980"
"In post","2022","East of England","Unknown","1735","1595","28820","26310"
"In post","2022","London","AA/AO","11875","11000","26070","25110"
"In post","2022","London","EO","21125","20095","30190","30470"
"In post","2022","London","G6/G7","29325","28390","60690","58770"
"In post","2022","London","SCS level","4480","4330","91150","82340"
"In post","2022","London","SEO/HEO","35585","34810","38740","38160"
"In post","2022","London","Unknown","2435","2325","34660","33700"
"In post","2022","North East (England)","AA/AO","13210","11385","22050","21260"
"In post","2022","North East (England)","EO","8430","7695","27120","27570"
"In post","2022","North East (England)","G6/G7","2715","2640","56400","55210"
"In post","2022","North East (England)","SCS level","130","130","86960","78600"
"In post","2022","North East (England)","SEO/HEO","7440","7105","35600","33370"
"In post","2022","North East (England)","Unknown","1180","1115","29630","28200"
"In post","2022","North West (England)","AA/AO","20940","18745","21960","21260"
"In post","2022","North West (England)","EO","19075","17680","27130","27570"
"In post","2022","North West (England)","G6/G7","5585","5405","57180","55210"
"In post","2022","North West (England)","SCS level","290","285","87780","80000"
"In post","2022","North West (England)","SEO/HEO","15150","14530","35760","33840"
"In post","2022","North West (England)","Unknown","3270","3055","30070","28200"
"In post","2022","Northern Ireland","AA/AO","1640","1530","21300","21250"
"In post","2022","Northern Ireland","EO","1105","1050","26930","26820"
"In post","2022","Northern Ireland","G6/G7","300","290","57720","55210"
"In post","2022","Northern Ireland","SCS level","20","15","79550","75700"
"In post","2022","Northern Ireland","SEO/HEO","1195","1160","35770","33370"
"In post","2022","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","AA/AO","65","65","22100","21830"
"In post","2022","Overseas","EO","285","285","27700","27130"
"In post","2022","Overseas","G6/G7","1315","1305","59620","57490"
"In post","2022","Overseas","SCS level","290","290","85420","76600"
"In post","2022","Overseas","SEO/HEO","1525","1520","39250","36450"
