"Status","Year","Function_of_post","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","30","30","21220","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","105","100","25290","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","20","20","61520","59680"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","60","60","48880","48080"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","135","130","29860","29750"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","110","105","37150","36580"
"In post","2022","Analysis","Companies House","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","Outside London","HEO","10","10","33870","35030"
"In post","2022","Analysis","Companies House","Outside London","SEO","10","10","43960","45250"
"In post","2022","Analysis","Competition and Markets Authority","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","G6","30","30","76040","74810"
"In post","2022","Analysis","Competition and Markets Authority","London","G7","50","50","57060","56360"
"In post","2022","Analysis","Competition and Markets Authority","London","HEO","20","20","34170","33610"
"In post","2022","Analysis","Competition and Markets Authority","London","SCS level","15","15","107830","97750"
"In post","2022","Analysis","Competition and Markets Authority","London","SEO","10","10","44700","43880"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","AO","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","G7","205","195","50390","47020"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","HEO","135","135","30170","29230"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","SEO","155","145","39260","38070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","30","30","28580","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6","20","15","71710","69470"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G7","40","40","58100","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","HEO","120","120","35830","34090"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO","15","15","45680","46050"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
