"Status","Year","Ethnicity","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Outside London","35","35","49530","42850"
"In post","2022","Asian","Angus and Dundee City","Outside London","50","45","27040","22140"
"In post","2022","Asian","Antrim and Newtownabbey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","London","175","160","31030","31060"
"In post","2022","Asian","Barnet","London","460","425","38170","32140"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Outside London","35","30","27910","27570"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","400","390","35920","33090"
"In post","2022","Asian","Bedford","Outside London","85","80","28490","27570"
"In post","2022","Asian","Belfast","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Berkshire","Outside London","315","290","30480","29290"
"In post","2022","Asian","Bexley and Greenwich","London","110","100","31070","31060"
"In post","2022","Asian","Birmingham","Outside London","3035","2850","28330","26780"
"In post","2022","Asian","Blackburn with Darwen","Outside London","135","115","26310","27570"
"In post","2022","Asian","Blackpool","Outside London","130","125","29730","27570"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Bradford","Outside London","835","745","24600","21260"
"In post","2022","Asian","Breckland and South Norfolk","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Brent","London","145","130","30970","31060"
"In post","2022","Asian","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","Outside London","20","15","[c]","[c]"
"In post","2022","Asian","Bristol, City of","Outside London","210","195","34240","29180"
"In post","2022","Asian","Bromley","London","30","25","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","Outside London","105","95","31370","28140"
"In post","2022","Asian","Caithness and Sutherland, and Ross and Cromarty","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Calderdale and Kirklees","Outside London","175","160","26850","27570"
"In post","2022","Asian","Cambridgeshire CC","Outside London","90","85","33770","27900"
"In post","2022","Asian","Camden and City of London","London","345","330","33950","28850"
"In post","2022","Asian","Cardiff and Vale of Glamorgan","Outside London","300","285","31100","26820"
"In post","2022","Asian","Causeway Coast and Glens","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Central Bedfordshire","Outside London","15","10","[c]","[c]"
"In post","2022","Asian","Central Hampshire","Outside London","70","70","32000","28560"
"In post","2022","Asian","Central Valleys","Outside London","40","35","29610","27570"
"In post","2022","Asian","Cheshire East","Outside London","45","40","25740","26350"
"In post","2022","Asian","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chorley and West Lancashire","Outside London","20","15","[c]","[c]"
"In post","2022","Asian","City of Edinburgh","Outside London","195","185","34170","30840"
"In post","2022","Asian","Clackmannanshire and Fife","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Conwy and Denbighshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Coventry","Outside London","460","440","34380","30090"
"In post","2022","Asian","Croydon","London","1775","1665","35820","31060"
"In post","2022","Asian","Darlington","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Derby","Outside London","110","95","25870","23030"
