"Status","Year","Age","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","London","10","10","25520","24370"
"In post","2022","16-19","Communications","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Outside London","15","15","20170","19380"
"In post","2022","16-19","Digital, Data and Technology","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","London","15","15","25570","24650"
"In post","2022","16-19","Economics","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Wales","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Finance","London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Finance","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","South West (England)","Outside London","15","15","19730","19460"
"In post","2022","16-19","Finance","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Midlands (England)","Outside London","45","45","22240","21260"
"In post","2022","16-19","Operational Delivery","East of England","Outside London","40","40","22810","21790"
"In post","2022","16-19","Operational Delivery","London","London","45","40","24900","24080"
"In post","2022","16-19","Operational Delivery","North East (England)","Outside London","45","40","21630","21260"
"In post","2022","16-19","Operational Delivery","North West (England)","Outside London","105","105","21640","21250"
"In post","2022","16-19","Operational Delivery","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Scotland","Outside London","50","45","21430","21250"
"In post","2022","16-19","Operational Delivery","South East (England)","Outside London","85","80","23470","21790"
"In post","2022","16-19","Operational Delivery","South West (England)","Outside London","30","30","22170","21300"
"In post","2022","16-19","Operational Delivery","Wales","Outside London","105","90","19990","18310"
"In post","2022","16-19","Operational Delivery","West Midlands (England)","Outside London","45","40","21980","21260"
"In post","2022","16-19","Operational Delivery","Yorkshire and The Humber","Outside London","70","65","22060","21250"
"In post","2022","16-19","Operational Research","London","London","[c]","[c]","[c]","[c]"
