"Status","Year","Age","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared non-disabled","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Debt","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Debt","Other","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Debt","Tax","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Finance","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Tax","[c]","[c]","[c]","[c]"
