"Status","Year","Age","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Unknown","No function","Commercial","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Communications","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Economics","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Finance","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Geography","45","45","24040","20420"
"In post","2022","20-29","Unknown","No function","Human Resources","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Intelligence Analysis","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","No function","International Trade","240","240","38980","38160"
"In post","2022","20-29","Unknown","No function","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Legal","75","75","32450","30450"
"In post","2022","20-29","Unknown","No function","Medicine","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Operational Delivery","8625","8450","26100","24250"
"In post","2022","20-29","Unknown","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Other","175","170","29270","27570"
"In post","2022","20-29","Unknown","No function","Planning","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Policy","1655","1645","37600","34170"
"In post","2022","20-29","Unknown","No function","Project Delivery","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Property","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","No function","Psychology","60","60","26410","26590"
"In post","2022","20-29","Unknown","No function","Science and Engineering","100","100","31610","30410"
"In post","2022","20-29","Unknown","No function","Tax","1010","980","26440","21250"
"In post","2022","20-29","Unknown","No function","Unknown","2170","2160","31050","29250"
"In post","2022","20-29","Unknown","No function","Veterinarian","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Project Delivery","Commercial","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Project Delivery","Economics","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Project Delivery","Operational Delivery","50","50","30770","30630"
"In post","2022","20-29","Unknown","Project Delivery","Other","70","70","26760","23630"
"In post","2022","20-29","Unknown","Project Delivery","Policy","90","90","39850","38600"
"In post","2022","20-29","Unknown","Project Delivery","Project Delivery","285","280","35500","33570"
"In post","2022","20-29","Unknown","Project Delivery","Science and Engineering","135","135","27710","27540"
"In post","2022","20-29","Unknown","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Project Delivery","Tax","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Project Delivery","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Property","Operational Delivery","105","105","23520","22010"
"In post","2022","20-29","Unknown","Property","Other","30","30","28400","29900"
"In post","2022","20-29","Unknown","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Property","Property","300","295","29940","28410"
"In post","2022","20-29","Unknown","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Security","Intelligence Analysis","55","55","32430","29250"
"In post","2022","20-29","Unknown","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Security","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Security","Security","395","395","27130","25680"
"In post","2022","20-29","Unknown","Security","Unknown","75","75","27480","26350"
"In post","2022","20-29","Unknown","Unknown","Commercial","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Communications","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Digital, Data and Technology","145","145","36450","35050"
"In post","2022","20-29","Unknown","Unknown","Economics","65","65","36830","35050"
"In post","2022","20-29","Unknown","Unknown","Finance","35","35","33360","30120"
"In post","2022","20-29","Unknown","Unknown","Human Resources","40","40","32370","30820"
"In post","2022","20-29","Unknown","Unknown","Intelligence Analysis","30","30","28520","24880"
"In post","2022","20-29","Unknown","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Medicine","35","35","30400","32130"
"In post","2022","20-29","Unknown","Unknown","Operational Delivery","1375","1365","24760","24880"
"In post","2022","20-29","Unknown","Unknown","Operational Research","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Other","625","620","27820","28650"
"In post","2022","20-29","Unknown","Unknown","Policy","420","415","40870","41500"
"In post","2022","20-29","Unknown","Unknown","Project Delivery","110","110","34870","35050"
"In post","2022","20-29","Unknown","Unknown","Science and Engineering","35","35","30680","29350"
"In post","2022","20-29","Unknown","Unknown","Security","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Social Research","45","45","34660","33650"
"In post","2022","20-29","Unknown","Unknown","Statistics","65","65","28500","22460"
"In post","2022","20-29","Unknown","Unknown","Unknown","1090","1070","29700","27230"
"In post","2022","30-39","Declared disabled","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Economics","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Geography","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Human Resources","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Operational Delivery","15","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Operational Research","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Other","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Policy","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Science and Engineering","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Social Research","35","35","38100","36930"
"In post","2022","30-39","Declared disabled","Analysis","Statistics","50","50","41580","38340"
"In post","2022","30-39","Declared disabled","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Commercial","85","80","38500","37400"
"In post","2022","30-39","Declared disabled","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Operational Delivery","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Commercial","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Communications","Communications","60","55","40220","37160"
"In post","2022","30-39","Declared disabled","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Communications","Operational Delivery","30","30","30780","33080"
"In post","2022","30-39","Declared disabled","Communications","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Communications","Tax","40","40","29280","26820"
"In post","2022","30-39","Declared disabled","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Counter Fraud","Counter Fraud","70","65","29580","27570"
"In post","2022","30-39","Declared disabled","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Counter Fraud","Legal","40","35","31800","32080"
"In post","2022","30-39","Declared disabled","Counter Fraud","Operational Delivery","45","45","29330","26820"
"In post","2022","30-39","Declared disabled","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Counter Fraud","Other","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Counter Fraud","Tax","30","30","43470","40180"
"In post","2022","30-39","Declared disabled","Counter Fraud","Unknown","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","Debt","Operational Delivery","45","40","23720","21250"
"In post","2022","30-39","Declared disabled","Debt","Other","50","40","22320","21260"
"In post","2022","30-39","Declared disabled","Debt","Tax","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","300","295","39020","36300"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Operational Delivery","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Policy","10","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Science and Engineering","20","20","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Digital, Data & Technology","Unknown","40","40","49210","54700"
"In post","2022","30-39","Declared disabled","Finance","Commercial","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Corporate Finance","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Finance","125","120","39900","36050"
"In post","2022","30-39","Declared disabled","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Operational Delivery","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Grants Management","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Grants Management","Operational Delivery","15","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","Human Resources","185","175","38620","33330"
"In post","2022","30-39","Declared disabled","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","Operational Delivery","30","30","29570","27570"
"In post","2022","30-39","Declared disabled","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Human Resources","Unknown","55","50","40920","40180"
"In post","2022","30-39","Declared disabled","Internal Audit","Internal Audit","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Internal Audit","Security","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Legal","125","120","52330","51830"
"In post","2022","30-39","Declared disabled","Legal","Operational Delivery","35","30","24950","24590"
"In post","2022","30-39","Declared disabled","Legal","Other","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Property","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Security","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Tax","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Legal","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Commercial","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Economics","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Geography","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Inspector of Education and Training","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Intelligence Analysis","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","International Trade","40","35","50640","51950"
"In post","2022","30-39","Declared disabled","No function","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Legal","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Operational Delivery","3765","3515","27550","27570"
"In post","2022","30-39","Declared disabled","No function","Operational Research","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Other","165","155","28700","27570"
"In post","2022","30-39","Declared disabled","No function","Planning","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Policy","600","585","46710","47550"
"In post","2022","30-39","Declared disabled","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Property","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Psychology","55","50","32160","30450"
"In post","2022","30-39","Declared disabled","No function","Science and Engineering","100","100","36990","36330"
"In post","2022","30-39","Declared disabled","No function","Security","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","No function","Tax","205","200","37270","33370"
"In post","2022","30-39","Declared disabled","No function","Unknown","140","135","43710","37620"
"In post","2022","30-39","Declared disabled","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Commercial","20","20","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Operational Delivery","40","40","36440","35870"
"In post","2022","30-39","Declared disabled","Project Delivery","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Other","65","60","31150","28650"
"In post","2022","30-39","Declared disabled","Project Delivery","Policy","60","60","50810","51960"
"In post","2022","30-39","Declared disabled","Project Delivery","Project Delivery","230","220","40180","38120"
"In post","2022","30-39","Declared disabled","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Science and Engineering","55","55","37660","35950"
"In post","2022","30-39","Declared disabled","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Tax","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Legal","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Operational Delivery","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Other","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Property","70","65","34220","32630"
"In post","2022","30-39","Declared disabled","Property","Security","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Property","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Intelligence Analysis","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Other","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Policy","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Security","Security","90","90","32910","29630"
"In post","2022","30-39","Declared disabled","Security","Unknown","25","25","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Communications","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Counter Fraud","5","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Finance","40","35","37660","33300"
"In post","2022","30-39","Declared disabled","Unknown","Human Resources","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Intelligence Analysis","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Medicine","15","15","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Operational Delivery","380","355","27300","25040"
"In post","2022","30-39","Declared disabled","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Other","145","140","27850","25260"
"In post","2022","30-39","Declared disabled","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Policy","120","120","44260","41970"
"In post","2022","30-39","Declared disabled","Unknown","Project Delivery","30","30","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Science and Engineering","20","20","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Social Research","10","5","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Unknown","350","335","36210","33070"
"In post","2022","30-39","Declared disabled","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","Economics","215","205","57690","55780"
"In post","2022","30-39","Declared non-disabled","Analysis","Finance","10","10","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","Geography","10","10","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","Human Resources","5","5","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","Intelligence Analysis","15","15","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Analysis","Operational Delivery","130","125","36530","34110"
"In post","2022","30-39","Declared non-disabled","Analysis","Operational Research","175","170","46370","47010"
