"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","10","10","38800","34500"
"In post","2022","Attorney General's Departments","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Yorkshire and The Humber","15","15","37910","34390"
"In post","2022","Attorney General's Departments","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","65","65","42220","39750"
"In post","2022","Attorney General's Departments","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","10","10","46840","39290"
"In post","2022","Attorney General's Departments","Counter Fraud","London","245","240","46670","40270"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","85","85","44230","40170"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North East (England)","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","North West (England)","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Wales","10","10","36370","31720"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","45","45","35790","31660"
"In post","2022","Attorney General's Departments","Finance","East Midlands (England)","30","30","24490","22200"
"In post","2022","Attorney General's Departments","Finance","East of England","15","15","27080","23770"
"In post","2022","Attorney General's Departments","Finance","London","75","75","38740","31560"
"In post","2022","Attorney General's Departments","Finance","North East (England)","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","North West (England)","10","10","25580","24060"
"In post","2022","Attorney General's Departments","Finance","South East (England)","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","South West (England)","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Yorkshire and The Humber","50","50","30410","25920"
"In post","2022","Attorney General's Departments","Human Resources","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","London","130","125","39530","32530"
"In post","2022","Attorney General's Departments","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","North West (England)","50","50","32020","30130"
"In post","2022","Attorney General's Departments","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","West Midlands (England)","10","10","34180","30130"
"In post","2022","Attorney General's Departments","Human Resources","Yorkshire and The Humber","40","35","37980","33310"
"In post","2022","Attorney General's Departments","Intelligence Analysis","London","10","10","43120","41040"
"In post","2022","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","London","35","35","44350","38740"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","North West (England)","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","East Midlands (England)","245","225","51200","51320"
"In post","2022","Attorney General's Departments","Legal","East of England","260","235","54550","54770"
"In post","2022","Attorney General's Departments","Legal","London","2780","2585","60010","61000"
"In post","2022","Attorney General's Departments","Legal","North East (England)","160","150","52870","54200"
"In post","2022","Attorney General's Departments","Legal","North West (England)","470","440","52830","54200"
"In post","2022","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","South East (England)","370","340","56410","54890"
"In post","2022","Attorney General's Departments","Legal","South West (England)","210","190","53030","53870"
"In post","2022","Attorney General's Departments","Legal","Wales","205","185","52410","54200"
"In post","2022","Attorney General's Departments","Legal","West Midlands (England)","315","295","52870","52410"
"In post","2022","Attorney General's Departments","Legal","Yorkshire and The Humber","425","395","53800","54300"
"In post","2022","Attorney General's Departments","Operational Delivery","East Midlands (England)","185","170","25880","25480"
"In post","2022","Attorney General's Departments","Operational Delivery","East of England","220","195","27230","25480"
"In post","2022","Attorney General's Departments","Operational Delivery","London","750","700","28350","26970"
"In post","2022","Attorney General's Departments","Operational Delivery","North East (England)","160","145","26140","23720"
"In post","2022","Attorney General's Departments","Operational Delivery","North West (England)","440","405","26370","25480"
"In post","2022","Attorney General's Departments","Operational Delivery","South East (England)","330","310","27990","26970"
"In post","2022","Attorney General's Departments","Operational Delivery","South West (England)","120","115","26540","25480"
"In post","2022","Attorney General's Departments","Operational Delivery","Wales","155","145","26060","25480"
"In post","2022","Attorney General's Departments","Operational Delivery","West Midlands (England)","240","225","26030","25480"
"In post","2022","Attorney General's Departments","Operational Delivery","Yorkshire and The Humber","300","270","26480","25480"
