"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Finance","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
