"Status","Year","Disability","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Nottingham","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Cambridgeshire CC","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Peterborough","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","West Essex","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Brent","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Croydon","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Enfield","[c]","[c]","[c]","[c]"
