"Status","Year","Organisation","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","AA","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","HEO","25","25","34650","36130"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","SEO","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","West Central Scotland","Glasgow City","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cheshire","Cheshire West and Chester","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","AO","15","10","20210","20040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","EO","40","40","24440","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","HEO","40","35","32060","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","SEO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Devon","Devon CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Devon","Devon CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Bournemouth, Christchurch and Poole","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Dorset","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Somerset CC","G6","[c]","[c]","[c]","[c]"
