"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicester","10","10","34560","30870"
"In post","2022","Commercial","East Midlands (England)","Leicestershire CC and Rutland","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire CC","15","15","39820","38550"
"In post","2022","Commercial","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","North Nottinghamshire","10","10","47030","43480"
"In post","2022","Commercial","East Midlands (England)","Nottingham","50","45","39330","38020"
"In post","2022","Commercial","East Midlands (England)","South and West Derbyshire","25","25","47900","45870"
"In post","2022","Commercial","East Midlands (England)","South Nottinghamshire","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Cambridgeshire CC","50","50","35220","34610"
"In post","2022","Commercial","East of England","Central Bedfordshire","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Hertfordshire CC","10","10","[c]","[c]"
"In post","2022","Commercial","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Norwich and East Norfolk","70","70","36420","38330"
"In post","2022","Commercial","East of England","Peterborough","30","30","42450","37380"
"In post","2022","Commercial","East of England","Suffolk CC","25","25","42200","39430"
"In post","2022","Commercial","East of England","West Essex","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Barnet","15","15","45090","41210"
"In post","2022","Commercial","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Brent","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Camden and City of London","5","5","[c]","[c]"
"In post","2022","Commercial","London","Croydon","110","110","43240","41950"
"In post","2022","Commercial","London","Enfield","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Hounslow and Richmond upon Thames","45","40","34170","25340"
"In post","2022","Commercial","London","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Lambeth","40","40","50810","53120"
"In post","2022","Commercial","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Tower Hamlets","55","55","44020","42010"
"In post","2022","Commercial","London","Westminster","810","790","47860","42470"
"In post","2022","Commercial","North East (England)","Darlington","70","70","37490","36500"
"In post","2022","Commercial","North East (England)","Durham","20","20","40640","41740"
"In post","2022","Commercial","North East (England)","Hartlepool and Stockton-on-Tees","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","Northumberland","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","Sunderland","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","Tyneside","75","70","37170","36500"
"In post","2022","Commercial","North West (England)","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Blackpool","40","40","36360","31990"
"In post","2022","Commercial","North West (England)","Cheshire East","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Chorley and West Lancashire","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","East Merseyside","25","25","40430","36820"
"In post","2022","Commercial","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Greater Manchester South West","85","80","40170","40520"
"In post","2022","Commercial","North West (England)","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Liverpool","190","190","35750","33910"
"In post","2022","Commercial","North West (England)","Manchester","150","150","38890","36500"
"In post","2022","Commercial","North West (England)","Mid Lancashire","15","10","36540","32170"
"In post","2022","Commercial","North West (England)","Sefton","15","15","38850","36350"
"In post","2022","Commercial","North West (England)","Warrington","20","20","38380","37150"
"In post","2022","Commercial","North West (England)","West Cumbria","15","15","40490","37400"
"In post","2022","Commercial","North West (England)","Wirral","40","35","26100","21260"
"In post","2022","Commercial","Northern Ireland","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Lisburn and Castlereagh","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","40","40","48740","42130"
"In post","2022","Commercial","Scotland","Aberdeen City and Aberdeenshire","10","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","City of Edinburgh","60","60","37430","35000"
"In post","2022","Commercial","Scotland","Clackmannanshire and Fife","15","10","32340","28000"
"In post","2022","Commercial","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","15","15","34930","34290"
"In post","2022","Commercial","Scotland","Falkirk","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Glasgow City","110","105","33790","33000"
"In post","2022","Commercial","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","North Lanarkshire","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Perth and Kinross, and Stirling","10","10","26800","26900"
"In post","2022","Commercial","Scotland","South Lanarkshire","50","50","39680","39630"
"In post","2022","Commercial","Scotland","West Lothian","10","10","35850","40290"
"In post","2022","Commercial","South East (England)","Berkshire","15","10","35860","36970"
"In post","2022","Commercial","South East (England)","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Buckinghamshire","60","60","37220","36800"
"In post","2022","Commercial","South East (England)","Central Hampshire","140","135","34780","34500"
"In post","2022","Commercial","South East (England)","East Kent","5","5","[c]","[c]"
"In post","2022","Commercial","South East (England)","East Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Medway","5","5","[c]","[c]"
"In post","2022","Commercial","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Milton Keynes","70","65","43590","41580"
"In post","2022","Commercial","South East (England)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Oxfordshire CC","35","35","33060","32350"
"In post","2022","Commercial","South East (England)","Portsmouth","55","55","35280","34500"
"In post","2022","Commercial","South East (England)","South Hampshire","15","15","44440","34800"
"In post","2022","Commercial","South East (England)","Southampton","30","25","40580","39250"
"In post","2022","Commercial","South East (England)","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","West Surrey","20","20","42370","39920"
"In post","2022","Commercial","South East (England)","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","West Sussex (South West)","5","5","[c]","[c]"
"In post","2022","Commercial","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","1195","1150","39760","37400"
"In post","2022","Commercial","South West (England)","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","Bristol, City of","80","75","37760","36780"
"In post","2022","Commercial","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
