"Status","Year","Age","Region_ITL1","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","Leicester","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire CC and Rutland","Outside London","10","10","20830","20890"
"In post","2022","16-19","East Midlands (England)","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Nottingham","Outside London","25","25","22160","21250"
"In post","2022","16-19","East Midlands (England)","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Cambridgeshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Heart of Essex","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Hertfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Norwich and East Norfolk","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Peterborough","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Suffolk CC","Outside London","10","10","22380","21470"
"In post","2022","16-19","East of England","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Barnet","London","5","5","[c]","[c]"
"In post","2022","16-19","London","Bexley and Greenwich","London","5","5","[c]","[c]"
"In post","2022","16-19","London","Brent","London","[c]","[c]","[c]","[c]"
