"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","London","Inner London - East","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","London","Inner London - West","95","90","42070","40050"
"In post","2022","Asian","Commercial","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","London","Outer London - South","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Greater Manchester","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","35","35","38080","33300"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","West Midlands","35","35","36680","36780"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","South Yorkshire","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","West Yorkshire","15","15","[c]","[c]"
"In post","2022","Asian","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","Inner London - East","30","25","[c]","[c]"
"In post","2022","Asian","Communications","London","Inner London - West","105","105","42210","40230"
"In post","2022","Asian","Communications","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","Outer London - West and North West","5","5","[c]","[c]"
"In post","2022","Asian","Communications","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North West (England)","Greater Manchester","10","10","[c]","[c]"
"In post","2022","Asian","Communications","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Yorkshire and The Humber","West Yorkshire","5","5","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Inner London - East","10","10","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Inner London - West","10","10","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East of England","Bedfordshire and Hertfordshire","10","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Inner London - East","25","25","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Inner London - West","40","40","37040","31630"
"In post","2022","Asian","Counter Fraud","London","Outer London - East and North East","210","185","27050","25110"
"In post","2022","Asian","Counter Fraud","London","Outer London - South","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Outer London - West and North West","40","35","31470","31880"
"In post","2022","Asian","Counter Fraud","North East (England)","Northumberland, and Tyne and Wear","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","Greater Manchester","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","Lancashire","20","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","West Central Scotland","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","30","25","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South East (England)","Kent","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South East (England)","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Wales","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","West Midlands (England)","West Midlands","80","75","26590","27570"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","West Yorkshire","35","30","27490","27570"
"In post","2022","Asian","Digital, Data and Technology","East Midlands (England)","Derbyshire and Nottinghamshire","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East of England","Bedfordshire and Hertfordshire","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East of England","Essex","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","Inner London - East","155","155","48020","41870"
"In post","2022","Asian","Digital, Data and Technology","London","Inner London - West","285","280","46370","42400"
"In post","2022","Asian","Digital, Data and Technology","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","Outer London - South","135","130","49390","45070"
"In post","2022","Asian","Digital, Data and Technology","London","Outer London - West and North West","85","85","44510","40170"
"In post","2022","Asian","Digital, Data and Technology","North East (England)","Northumberland, and Tyne and Wear","75","75","43140","40520"
"In post","2022","Asian","Digital, Data and Technology","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","North West (England)","Cheshire","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","North West (England)","Greater Manchester","115","115","40700","36780"
"In post","2022","Asian","Digital, Data and Technology","North West (England)","Lancashire","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","North West (England)","Merseyside","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Scotland","West Central Scotland","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South East (England)","Hampshire and Isle of Wight","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South West (England)","Devon","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","55","55","37430","33000"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Wales","East Wales","35","35","37610","36840"
"In post","2022","Asian","Digital, Data and Technology","Wales","West Wales and The Valleys","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","West Midlands (England)","Shropshire and Staffordshire","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","West Midlands (England)","West Midlands","115","115","38460","36050"
"In post","2022","Asian","Digital, Data and Technology","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Yorkshire and The Humber","South Yorkshire","45","45","41380","36500"
"In post","2022","Asian","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","65","65","39800","38000"
"In post","2022","Asian","Economics","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","London","Inner London - East","25","25","[c]","[c]"
"In post","2022","Asian","Economics","London","Inner London - West","165","160","45180","39570"
"In post","2022","Asian","Economics","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","North West (England)","Greater Manchester","10","10","[c]","[c]"
"In post","2022","Asian","Economics","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Wales","East Wales","15","15","[c]","[c]"
"In post","2022","Asian","Economics","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","East Midlands (England)","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2022","Asian","Finance","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2022","Asian","Finance","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","East of England","Bedfordshire and Hertfordshire","20","20","[c]","[c]"
"In post","2022","Asian","Finance","East of England","East Anglia","5","5","[c]","[c]"
"In post","2022","Asian","Finance","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","Inner London - East","90","85","44460","41750"
"In post","2022","Asian","Finance","London","Inner London - West","365","355","44700","40940"
"In post","2022","Asian","Finance","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","Outer London - South","60","55","42540","37660"
"In post","2022","Asian","Finance","London","Outer London - West and North West","20","20","[c]","[c]"
"In post","2022","Asian","Finance","North East (England)","Northumberland, and Tyne and Wear","10","10","[c]","[c]"
"In post","2022","Asian","Finance","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","North West (England)","Greater Manchester","45","40","36930","31990"
"In post","2022","Asian","Finance","North West (England)","Lancashire","10","10","[c]","[c]"
"In post","2022","Asian","Finance","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Overseas","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","25","25","[c]","[c]"
"In post","2022","Asian","Finance","South East (England)","Hampshire and Isle of Wight","15","15","[c]","[c]"
"In post","2022","Asian","Finance","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2022","Asian","Finance","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","50","45","38530","33000"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Wales","East Wales","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","West Midlands (England)","Shropshire and Staffordshire","15","15","[c]","[c]"
"In post","2022","Asian","Finance","West Midlands (England)","West Midlands","110","110","35610","31990"
"In post","2022","Asian","Finance","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Yorkshire and The Humber","South Yorkshire","20","20","[c]","[c]"
"In post","2022","Asian","Finance","Yorkshire and The Humber","West Yorkshire","55","55","35610","33220"
"In post","2022","Asian","Geography","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East Midlands (England)","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East of England","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Inner London - East","60","60","38660","34260"
"In post","2022","Asian","Human Resources","London","Inner London - West","200","190","43070","37970"
"In post","2022","Asian","Human Resources","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Outer London - South","50","50","39050","35070"
"In post","2022","Asian","Human Resources","London","Outer London - West and North West","25","25","[c]","[c]"
"In post","2022","Asian","Human Resources","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","North West (England)","Cheshire","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","North West (England)","Greater Manchester","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
