"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","35","35","23280","21260"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","EO","45","40","28420","27570"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","50","45","43380","39660"
"In post","2022","Declared disabled","Angus and Dundee City","AA/AO","165","150","21590","21260"
"In post","2022","Declared disabled","Angus and Dundee City","EO","85","75","27530","27570"
"In post","2022","Declared disabled","Angus and Dundee City","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","EO","70","60","30810","31060"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnet","AA/AO","30","30","24100","23780"
"In post","2022","Declared disabled","Barnet","EO","40","35","30640","31060"
"In post","2022","Declared disabled","Barnet","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Barnet","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnet","SEO/HEO","30","30","38640","38930"
"In post","2022","Declared disabled","Barnet","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","AA/AO","180","155","22290","21260"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","EO","150","130","27520","27570"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","G6/G7","5","5","[c]","[c]"
