"Status","Year","Function_of_post","Organisation","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","Heterosexual / straight","110","105","33640","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","Unknown","185","180","35500","30660"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Heterosexual / straight","55","55","35520","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Unknown","75","70","32450","29270"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Wales","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Companies House","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Wales","Unknown","[c]","[c]","[c]","[c]"
