"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Yorkshire and The Humber","West Yorkshire","Outside London","260","250","40150","36820"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","115","110","42790","38600"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","Outside London","10","10","52520","43330"
"In post","2022","Commercial","East of England","East Anglia","Outside London","205","195","42890","38980"
"In post","2022","Commercial","East of England","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","London","210","205","51700","48900"
"In post","2022","Commercial","London","Inner London - West","London","1570","1545","60990","54700"
"In post","2022","Commercial","London","Outer London - South","London","25","25","63350","65320"
"In post","2022","Commercial","London","Outer London - West and North West","London","55","55","34370","29390"
"In post","2022","Commercial","North East (England)","Northumberland, and Tyne and Wear","Outside London","50","45","44000","37960"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","Outside London","60","60","44040","36500"
"In post","2022","Commercial","North West (England)","Cheshire","Outside London","25","20","45340","39320"
"In post","2022","Commercial","North West (England)","Cumbria","Outside London","20","20","43720","38240"
"In post","2022","Commercial","North West (England)","Greater Manchester","Outside London","310","305","45780","40520"
"In post","2022","Commercial","North West (England)","Lancashire","Outside London","40","40","55850","57330"
"In post","2022","Commercial","North West (England)","Merseyside","Outside London","275","270","42480","38980"
"In post","2022","Commercial","Northern Ireland","Northern Ireland","Outside London","10","10","34000","33000"
"In post","2022","Commercial","Overseas","Overseas","Overseas","40","40","48970","42750"
"In post","2022","Commercial","Scotland","Eastern Scotland","Outside London","110","105","36060","32710"
"In post","2022","Commercial","Scotland","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","North Eastern Scotland","Outside London","10","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Southern Scotland","Outside London","65","65","44530","41490"
"In post","2022","Commercial","Scotland","West Central Scotland","Outside London","195","195","40260","34500"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","180","175","42740","39790"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","Outside London","270","260","41390","38070"
"In post","2022","Commercial","South East (England)","Kent","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","South East (England)","Surrey, East and West Sussex","Outside London","65","55","39100","30780"
"In post","2022","Commercial","South West (England)","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South West (England)","Devon","Outside London","225","215","43680","45150"
"In post","2022","Commercial","South West (England)","Dorset and Somerset","Outside London","95","90","41960","42510"
"In post","2022","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1115","1075","42960","39890"
"In post","2022","Commercial","Unknown","Unknown","Unknown","65","65","52900","49700"
"In post","2022","Commercial","Wales","East Wales","Outside London","160","160","38310","32890"
"In post","2022","Commercial","Wales","West Wales and The Valleys","Outside London","200","185","32950","30730"
"In post","2022","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","25","20","32050","30090"
"In post","2022","Commercial","West Midlands (England)","Shropshire and Staffordshire","Outside London","165","165","38190","33300"
"In post","2022","Commercial","West Midlands (England)","West Midlands","Outside London","130","125","51840","42290"
"In post","2022","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Yorkshire and The Humber","North Yorkshire","Outside London","80","80","42660","38180"
"In post","2022","Commercial","Yorkshire and The Humber","South Yorkshire","Outside London","125","120","43740","36780"
"In post","2022","Commercial","Yorkshire and The Humber","West Yorkshire","Outside London","295","290","48070","42240"
"In post","2022","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","640","625","30080","26820"
"In post","2022","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Lincolnshire","Outside London","15","15","31070","31510"
"In post","2022","Communications","East of England","Bedfordshire and Hertfordshire","Outside London","15","15","35170","33300"
"In post","2022","Communications","East of England","East Anglia","Outside London","50","50","32740","31170"
"In post","2022","Communications","East of England","Essex","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","London","Inner London - East","London","240","235","47550","42290"
"In post","2022","Communications","London","Inner London - West","London","2105","2060","47470","43330"
"In post","2022","Communications","London","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Outer London - South","London","40","40","45140","42100"
"In post","2022","Communications","London","Outer London - West and North West","London","40","35","34600","33880"
"In post","2022","Communications","North East (England)","Northumberland, and Tyne and Wear","Outside London","1490","1415","29680","26820"
"In post","2022","Communications","North East (England)","Tees Valley and Durham","Outside London","30","30","31560","29320"
"In post","2022","Communications","North West (England)","Cheshire","Outside London","15","15","37100","36740"
"In post","2022","Communications","North West (England)","Cumbria","Outside London","25","25","33920","30440"
"In post","2022","Communications","North West (England)","Greater Manchester","Outside London","650","640","30010","26820"
"In post","2022","Communications","North West (England)","Lancashire","Outside London","30","30","35250","33300"
"In post","2022","Communications","North West (England)","Merseyside","Outside London","85","85","42000","39380"
"In post","2022","Communications","Northern Ireland","Northern Ireland","Outside London","35","30","41800","37350"
"In post","2022","Communications","Overseas","Overseas","Overseas","10","10","[c]","[c]"
"In post","2022","Communications","Scotland","Eastern Scotland","Outside London","50","50","39040","37710"
"In post","2022","Communications","Scotland","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","Southern Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","West Central Scotland","Outside London","30","30","35250","34360"
"In post","2022","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","90","85","33910","33000"
"In post","2022","Communications","South East (England)","Hampshire and Isle of Wight","Outside London","175","165","34290","33000"
