"Status","Year","Disability","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Debt","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Debt","London","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Debt","Outside London","Heterosexual / straight","545","460","23120","21260"
"In post","2022","Declared disabled","Debt","Outside London","LGBO","60","55","23120","21260"
"In post","2022","Declared disabled","Debt","Outside London","Undeclared","70","60","22560","21260"
"In post","2022","Declared disabled","Debt","Outside London","Unknown","70","60","22520","21260"
"In post","2022","Declared disabled","Debt","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","London","Heterosexual / straight","255","250","46340","41300"
"In post","2022","Declared disabled","Digital, Data & Technology","London","LGBO","65","65","45630","44470"
"In post","2022","Declared disabled","Digital, Data & Technology","London","Undeclared","45","45","45980","41750"
"In post","2022","Declared disabled","Digital, Data & Technology","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Outside London","Heterosexual / straight","1190","1135","37630","33430"
"In post","2022","Declared disabled","Digital, Data & Technology","Outside London","LGBO","165","155","35880","33840"
"In post","2022","Declared disabled","Digital, Data & Technology","Outside London","Undeclared","185","180","37670","34290"
"In post","2022","Declared disabled","Digital, Data & Technology","Outside London","Unknown","75","70","38210","35980"
"In post","2022","Declared disabled","Digital, Data & Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","London","Heterosexual / straight","195","190","48190","43710"
"In post","2022","Declared disabled","Finance","London","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Finance","London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","Outside London","Heterosexual / straight","685","630","35360","33000"
"In post","2022","Declared disabled","Finance","Outside London","LGBO","50","50","34300","31990"
"In post","2022","Declared disabled","Finance","Outside London","Undeclared","85","75","33950","31990"
"In post","2022","Declared disabled","Finance","Outside London","Unknown","60","55","30250","27570"
"In post","2022","Declared disabled","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Outside London","Heterosexual / straight","105","95","26230","24920"
"In post","2022","Declared disabled","Grants Management","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Outside London","Unknown","55","45","24210","21300"
"In post","2022","Declared disabled","Human Resources","London","Heterosexual / straight","310","300","47300","41750"
"In post","2022","Declared disabled","Human Resources","London","LGBO","70","70","44420","40050"
"In post","2022","Declared disabled","Human Resources","London","Undeclared","35","35","42860","37040"
"In post","2022","Declared disabled","Human Resources","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Outside London","Heterosexual / straight","930","870","35640","32700"
"In post","2022","Declared disabled","Human Resources","Outside London","LGBO","115","110","34580","31990"
"In post","2022","Declared disabled","Human Resources","Outside London","Undeclared","85","75","31850","28390"
"In post","2022","Declared disabled","Human Resources","Outside London","Unknown","40","35","31850","27570"
"In post","2022","Declared disabled","Human Resources","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Outside London","Heterosexual / straight","50","45","42540","39200"
"In post","2022","Declared disabled","Internal Audit","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","London","Heterosexual / straight","330","305","50370","51830"
"In post","2022","Declared disabled","Legal","London","LGBO","55","50","49830","51830"
"In post","2022","Declared disabled","Legal","London","Undeclared","35","35","55660","61540"
"In post","2022","Declared disabled","Legal","London","Unknown","30","30","49070","53050"
"In post","2022","Declared disabled","Legal","Outside London","Heterosexual / straight","575","530","40420","36220"
"In post","2022","Declared disabled","Legal","Outside London","LGBO","55","50","40740","34480"
"In post","2022","Declared disabled","Legal","Outside London","Undeclared","50","45","44110","41750"
"In post","2022","Declared disabled","Legal","Outside London","Unknown","85","75","39590","33920"
"In post","2022","Declared disabled","Legal","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
