"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Corporate Finance","London","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Corporate Finance","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","EO","Female","10","5","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SEO/HEO","Female","30","30","36960","37680"
"In post","2022","Corporate Finance","Outside London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Counter Fraud","London","AA/AO","Female","260","215","24580","25110"
"In post","2022","Counter Fraud","London","AA/AO","Male","115","110","24610","25110"
"In post","2022","Counter Fraud","London","EO","Female","275","245","30960","31060"
"In post","2022","Counter Fraud","London","EO","Male","185","180","31180","31060"
"In post","2022","Counter Fraud","London","G6/G7","Female","35","30","61750","61710"
"In post","2022","Counter Fraud","London","G6/G7","Male","70","70","64030","62650"
"In post","2022","Counter Fraud","London","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Counter Fraud","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","SEO/HEO","Female","130","125","37810","37730"
"In post","2022","Counter Fraud","London","SEO/HEO","Male","175","170","39180","39000"
"In post","2022","Counter Fraud","Outside London","AA/AO","Female","740","595","21800","21260"
"In post","2022","Counter Fraud","Outside London","AA/AO","Male","375","350","21770","21260"
"In post","2022","Counter Fraud","Outside London","EO","Female","1905","1675","27690","27570"
"In post","2022","Counter Fraud","Outside London","EO","Male","1245","1145","27780","27570"
"In post","2022","Counter Fraud","Outside London","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","G6/G7","Male","40","40","54620","52310"
"In post","2022","Counter Fraud","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","SEO/HEO","Female","525","495","34220","32620"
"In post","2022","Counter Fraud","Outside London","SEO/HEO","Male","465","445","34740","33350"
"In post","2022","Counter Fraud","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","AA/AO","Male","50","45","24570","24310"
"In post","2022","Digital, Data and Technology","London","EO","Female","160","155","29610","29000"
"In post","2022","Digital, Data and Technology","London","EO","Male","275","270","29810","29640"
"In post","2022","Digital, Data and Technology","London","G6/G7","Female","565","555","60680","59160"
"In post","2022","Digital, Data and Technology","London","G6/G7","Male","1005","1000","63300","61990"
"In post","2022","Digital, Data and Technology","London","SCS level","Female","45","45","93540","89440"
"In post","2022","Digital, Data and Technology","London","SCS level","Male","90","90","97340","92770"
"In post","2022","Digital, Data and Technology","London","SEO/HEO","Female","735","715","40030","40650"
"In post","2022","Digital, Data and Technology","London","SEO/HEO","Male","1105","1095","40670","41000"
"In post","2022","Digital, Data and Technology","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","AA/AO","Female","255","240","21470","21260"
"In post","2022","Digital, Data and Technology","Outside London","AA/AO","Male","340","335","21630","21290"
"In post","2022","Digital, Data and Technology","Outside London","EO","Female","1040","955","27170","26820"
"In post","2022","Digital, Data and Technology","Outside London","EO","Male","1980","1925","27610","27380"
