"Status","Year","Region_ITL3","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Female","Heterosexual / straight","590","540","34290","30040"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Female","LGBO","40","40","33760","30040"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Female","Undeclared","55","50","34210","27570"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Female","Unknown","280","250","29890","27570"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Male","Heterosexual / straight","570","550","42980","35000"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Male","LGBO","35","35","35190","31000"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Male","Undeclared","75","75","45380","36540"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Male","Unknown","285","275","35140","32040"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","Female","Heterosexual / straight","850","780","28320","27230"
"In post","2022","Angus and Dundee City","Outside London","Female","LGBO","60","55","25130","22140"
"In post","2022","Angus and Dundee City","Outside London","Female","Undeclared","65","55","24700","21260"
"In post","2022","Angus and Dundee City","Outside London","Female","Unknown","310","280","26130","23230"
"In post","2022","Angus and Dundee City","Outside London","Male","Heterosexual / straight","520","505","27930","25930"
"In post","2022","Angus and Dundee City","Outside London","Male","LGBO","55","55","26040","23230"
"In post","2022","Angus and Dundee City","Outside London","Male","Undeclared","45","45","24590","21260"
"In post","2022","Angus and Dundee City","Outside London","Male","Unknown","180","175","25640","22690"
"In post","2022","Angus and Dundee City","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","Female","Heterosexual / straight","55","55","30430","22580"
"In post","2022","Antrim and Newtownabbey","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","Male","Heterosexual / straight","115","110","23250","20560"
"In post","2022","Antrim and Newtownabbey","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","Female","Heterosexual / straight","50","40","31690","26700"
"In post","2022","Ards and North Down","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","Male","Heterosexual / straight","145","145","26050","21060"
"In post","2022","Ards and North Down","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","Female","Heterosexual / straight","330","295","31730","31060"
"In post","2022","Barking & Dagenham and Havering","London","Female","LGBO","10","5","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","Female","Undeclared","30","25","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","Female","Unknown","75","65","30380","31060"
"In post","2022","Barking & Dagenham and Havering","London","Male","Heterosexual / straight","170","165","32370","31060"
"In post","2022","Barking & Dagenham and Havering","London","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","Male","Unknown","60","60","31920","31060"
