"Status","Year","Age","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","London","EO","10","10","27100","27680"
"In post","2022","16-19","Analysis","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Outside London","EO","10","10","24500","23880"
"In post","2022","16-19","Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","AA/AO","10","10","21530","21250"
"In post","2022","16-19","Counter Fraud","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Outside London","AA/AO","45","45","21250","21250"
"In post","2022","16-19","Debt","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Outside London","AA/AO","15","15","19060","19380"
"In post","2022","16-19","Digital, Data & Technology","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","AA/AO","15","10","20750","21250"
