"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","180","160","43430","40000"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","130","120","42610","39750"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","Outside London","25","25","48780","43750"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","30","30","38220","33270"
"In post","2022","Attorney General's Departments","Cumbria","East Cumbria","Outside London","35","30","37920","31270"
"In post","2022","Attorney General's Departments","Cumbria","West Cumbria","Outside London","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","Outside London","300","280","37830","30930"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon","Devon CC","Outside London","105","100","39890","38000"
"In post","2022","Attorney General's Departments","Dorset and Somerset","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Dorset and Somerset","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Anglia","Cambridgeshire CC","Outside London","15","10","41010","38000"
