"Status","Year","Organisation","Parent_department","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Unknown","East Ayrshire and North Ayrshire mainland","110","100","32660","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Unknown","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","Westminster","15","10","39790","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Tyneside","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Westminster","40","40","48260","47750"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Westminster","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Birmingham","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Westminster","15","15","39430","36350"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Birmingham","65","60","30760","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Bristol, City of","40","35","31890","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Cardiff and Vale of Glamorgan","70","70","30110","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Dudley","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Glasgow City","85","75","30940","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Leeds","65","60","31760","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Manchester","125","115","29860","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","North Hampshire","20","20","33710","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Nottingham","100","90","28160","24410"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Sefton","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","South West Wales","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Suffolk CC","35","35","34240","34260"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Tyneside","130","120","29210","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Wandsworth","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Westminster","90","85","40960","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","West Surrey","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Worcestershire CC","15","15","31770","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Aberdeen City and Aberdeenshire","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Bristol, City of","60","55","23960","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cambridgeshire CC","25","25","29750","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cardiff and Vale of Glamorgan","80","75","25970","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Central Hampshire","35","35","28010","25190"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cheshire East","25","25","31120","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cornwall and Isles of Scilly","40","40","26760","25320"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Devon CC","165","155","25160","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Cumbria","130","120","23560","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Kent","35","35","28430","28340"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Riding of Yorkshire","20","20","27360","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Gloucestershire CC","35","30","28930","25600"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Gwynedd","60","50","25260","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Harrow and Hillingdon","15","15","34150","31690"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Heart of Essex","40","40","29120","28030"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Hertfordshire CC","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Hounslow and Richmond upon Thames","65","65","32440","31570"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Inverness and Nairn, Moray, and Badenoch and Strathspey","15","10","25050","23110"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Leicestershire CC and Rutland","15","15","28420","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Lincolnshire CC","20","20","31850","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Manchester","15","15","27730","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Mid Kent","10","10","28070","26580"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Mid Lancashire","90","80","26880","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","North and West Norfolk","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","North Yorkshire CC","100","95","30280","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Northumberland","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Nottingham","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Oxfordshire CC","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Perth and Kinross, and Stirling","30","30","29780","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Powys","20","15","32520","32540"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Redbridge and Waltham Forest","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Scottish Borders","10","10","27120","23110"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Shropshire","25","25","29820","27850"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Somerset CC","20","20","29180","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South and West Derbyshire","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South Ayrshire","20","15","24390","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South Lanarkshire","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","South West Wales","110","105","26090","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Staffordshire CC","65","60","24410","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Suffolk CC","30","30","27550","25100"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Tyneside","30","30","30630","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","20","20","25480","25130"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","West Surrey","150","145","32370","28270"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","West Sussex (North East)","20","20","31470","29610"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Westminster","15","10","37860","29680"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Wiltshire","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Worcestershire CC","110","100","27250","25360"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","York","70","65","23650","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","West Surrey","15","15","38600","38750"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","South West Wales","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Worcestershire CC","25","25","34020","30730"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","York","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Devon CC","15","15","31480","26450"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","East Cumbria","15","15","24690","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","North Yorkshire CC","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Shropshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","South Nottinghamshire","15","15","29020","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","South West Wales","10","10","24320","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Suffolk CC","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Tyneside","20","15","28170","25060"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","West Surrey","450","430","32700","28550"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Worcestershire CC","10","10","31960","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Cardiff and Vale of Glamorgan","10","10","[c]","[c]"
