"Status","Year","Age","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","[c]","[c]","[c]","[c]"
