"Status","Year","Disability","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","EO","35","30","28420","27570"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","G7","[c]","[c]","[c]","[c]"
