"Status","Year","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","15","15","49460","53000"
"In post","2022","Analysis","Communications","5","5","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","165","165","44510","42210"
"In post","2022","Analysis","Economics","1370","1340","46830","40650"
"In post","2022","Analysis","Finance","60","55","46040","40150"
"In post","2022","Analysis","Geography","60","55","31580","33000"
"In post","2022","Analysis","Human Resources","40","40","44050","39880"
"In post","2022","Analysis","Intelligence Analysis","110","110","39840","37810"
"In post","2022","Analysis","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","45","40","44330","41350"
"In post","2022","Analysis","Medicine","15","15","50540","53360"
"In post","2022","Analysis","Operational Delivery","850","810","35320","31700"
"In post","2022","Analysis","Operational Research","715","685","44570","42470"
"In post","2022","Analysis","Other","385","365","56880","49550"
"In post","2022","Analysis","Policy","575","545","49090","50630"
"In post","2022","Analysis","Project Delivery","15","15","43950","41990"
"In post","2022","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","705","675","37550","35900"
"In post","2022","Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","1090","1040","41810","38340"
"In post","2022","Analysis","Statistics","2070","1995","43990","39850"
"In post","2022","Analysis","Tax","15","15","37890","37610"
"In post","2022","Analysis","Unknown","150","150","40960","37610"
"In post","2022","Commercial","Commercial","4070","3940","39510","37400"
"In post","2022","Commercial","Communications","10","10","43710","40650"
"In post","2022","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","15","15","38030","34260"
"In post","2022","Commercial","Finance","50","50","39490","34260"
"In post","2022","Commercial","Human Resources","10","10","42150","40650"
"In post","2022","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Operational Delivery","400","390","43170","38490"
"In post","2022","Commercial","Other","90","85","43380","40340"
"In post","2022","Commercial","Policy","35","30","50710","52300"
"In post","2022","Commercial","Project Delivery","95","95","45160","41350"
"In post","2022","Commercial","Property","10","10","27560","25770"
"In post","2022","Commercial","Science and Engineering","125","125","41490","41810"
"In post","2022","Commercial","Tax","10","10","35290","33370"
"In post","2022","Commercial","Unknown","1680","1655","68950","64500"
"In post","2022","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","15","15","45200","37710"
"In post","2022","Communications","Communications","3440","3330","42400","38680"
"In post","2022","Communications","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Communications","Finance","15","15","48290","53360"
"In post","2022","Communications","Human Resources","30","30","43510","38370"
"In post","2022","Communications","Knowledge and Information Management","100","95","40780","38950"
"In post","2022","Communications","Operational Delivery","1810","1740","30380","26820"
"In post","2022","Communications","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","45","40","34580","31810"
"In post","2022","Communications","Policy","30","25","51680","50530"
"In post","2022","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Tax","2495","2415","28980","26820"
"In post","2022","Communications","Unknown","550","545","44430","40600"
"In post","2022","Counter Fraud","Counter Fraud","6390","5755","29270","27570"
"In post","2022","Counter Fraud","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","255","245","38670","37610"
"In post","2022","Counter Fraud","Knowledge and Information Management","35","35","40680","39230"
"In post","2022","Counter Fraud","Legal","3400","3250","33750","33080"
"In post","2022","Counter Fraud","Operational Delivery","3895","3580","30680","27570"
"In post","2022","Counter Fraud","Operational Research","10","10","39950","31020"
"In post","2022","Counter Fraud","Other","325","295","41870","40180"
"In post","2022","Counter Fraud","Tax","1915","1795","41890","37930"
"In post","2022","Counter Fraud","Unknown","790","780","33730","30750"
"In post","2022","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Operational Delivery","3345","2985","24980","22080"
"In post","2022","Debt","Other","2505","2135","22600","21260"
"In post","2022","Debt","Tax","855","820","22200","21250"
"In post","2022","Debt","Unknown","115","110","26240","21250"
"In post","2022","Digital, Data & Technology","Commercial","25","25","37430","35050"
"In post","2022","Digital, Data & Technology","Communications","25","20","38690","38180"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","17385","16920","41390","38000"
"In post","2022","Digital, Data & Technology","Finance","15","15","39120","36050"
"In post","2022","Digital, Data & Technology","Human Resources","10","10","43540","39470"
"In post","2022","Digital, Data & Technology","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","910","885","32840","29810"
"In post","2022","Digital, Data & Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","15","15","31070","27400"
"In post","2022","Digital, Data & Technology","Operational Delivery","550","525","38000","33840"
"In post","2022","Digital, Data & Technology","Operational Research","20","20","48680","43730"
"In post","2022","Digital, Data & Technology","Other","50","45","38760","34660"
"In post","2022","Digital, Data & Technology","Policy","250","245","44390","40230"
"In post","2022","Digital, Data & Technology","Project Delivery","190","180","40120","35310"
"In post","2022","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Science and Engineering","975","915","38900","39650"
"In post","2022","Digital, Data & Technology","Security","15","15","44780","39960"
"In post","2022","Digital, Data & Technology","Statistics","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","80","80","40250","40180"
"In post","2022","Digital, Data & Technology","Unknown","1530","1510","49540","54160"
"In post","2022","Finance","Commercial","625","585","36970","33820"
"In post","2022","Finance","Communications","10","10","40010","40650"
"In post","2022","Finance","Corporate Finance","115","110","45810","42000"
"In post","2022","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","240","230","39160","36500"
"In post","2022","Finance","Economics","15","10","52360","53610"
"In post","2022","Finance","Finance","8910","8535","40930","36960"
"In post","2022","Finance","Human Resources","30","30","33260","30190"
"In post","2022","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Operational Delivery","1495","1310","27800","22080"
"In post","2022","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Other","35","35","47160","40450"
"In post","2022","Finance","Policy","60","55","46070","42570"
"In post","2022","Finance","Project Delivery","50","50","41230","38280"
"In post","2022","Finance","Property","40","40","40430","36500"
"In post","2022","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Security","315","305","42300","36650"
"In post","2022","Finance","Statistics","10","10","[c]","[c]"
"In post","2022","Finance","Tax","95","95","36380","37770"
"In post","2022","Finance","Unknown","330","320","46430","41140"
"In post","2022","Grants Management","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Operational Delivery","2310","2120","25120","21300"
"In post","2022","Grants Management","Policy","5","5","[c]","[c]"
"In post","2022","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Communications","15","15","39310","36020"
"In post","2022","Human Resources","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Digital, Data and Technology","10","10","34890","32610"
"In post","2022","Human Resources","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Finance","5","5","[c]","[c]"
"In post","2022","Human Resources","Human Resources","8455","8025","38640","34110"
"In post","2022","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Legal","20","15","63130","61010"
"In post","2022","Human Resources","Operational Delivery","1525","1415","30290","27570"
"In post","2022","Human Resources","Other","80","75","36240","37240"
"In post","2022","Human Resources","Policy","30","30","41250","38280"
"In post","2022","Human Resources","Project Delivery","30","30","46780","46720"
"In post","2022","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Tax","210","200","35200","33080"
"In post","2022","Human Resources","Unknown","1320","1265","40020","35590"
"In post","2022","Internal Audit","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Internal Audit","725","690","46700","43520"
"In post","2022","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other","30","30","35760","30130"
"In post","2022","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Security","5","5","[c]","[c]"
"In post","2022","Legal","Communications","25","25","36500","39750"
"In post","2022","Legal","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Legal","Finance","80","75","27060","26220"
"In post","2022","Legal","Human Resources","30","30","32320","31560"
"In post","2022","Legal","Knowledge and Information Management","85","75","34480","27570"
"In post","2022","Legal","Legal","7755","7225","56090","55610"
"In post","2022","Legal","Operational Delivery","3250","3005","27200","25530"
"In post","2022","Legal","Other","460","440","33890","27580"
"In post","2022","Legal","Policy","100","95","47400","45000"
"In post","2022","Legal","Project Delivery","25","25","35850","33120"
"In post","2022","Legal","Property","10","10","41010","32340"
"In post","2022","Legal","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Security","10","10","31390","31420"
"In post","2022","Legal","Tax","345","325","41560","37930"
"In post","2022","Legal","Unknown","225","215","58700","62120"
"In post","2022","No function","Commercial","515","500","48360","46550"
"In post","2022","No function","Communications","250","240","41230","37100"
"In post","2022","No function","Corporate Finance","25","25","63340","61410"
"In post","2022","No function","Counter Fraud","5","5","[c]","[c]"
"In post","2022","No function","Digital, Data and Technology","145","140","42240","40700"
"In post","2022","No function","Economics","400","390","48470","51920"
"In post","2022","No function","Finance","150","145","47100","46360"
"In post","2022","No function","Geography","430","405","31400","33290"
"In post","2022","No function","Human Resources","80","80","47640","46000"
"In post","2022","No function","Inspector of Education and Training","870","850","64950","64500"
"In post","2022","No function","Intelligence Analysis","435","420","30830","28640"
"In post","2022","No function","Internal Audit","20","20","29980","32100"
"In post","2022","No function","International Trade","1635","1615","47300","43840"
"In post","2022","No function","Knowledge and Information Management","815","780","35860","31990"
"In post","2022","No function","Legal","1335","1220","44240","43320"
"In post","2022","No function","Medicine","595","530","82770","84300"
"In post","2022","No function","Operational Delivery","205080","187265","28590","27570"
"In post","2022","No function","Operational Research","285","275","45550","47010"
"In post","2022","No function","Other","7500","7050","32250","27570"
"In post","2022","No function","Planning","150","150","44770","40720"
"In post","2022","No function","Planning Inspectors","375","335","56300","58810"
"In post","2022","No function","Policy","23550","22945","46870","42220"
"In post","2022","No function","Project Delivery","485","475","45130","41940"
"In post","2022","No function","Property","35","30","42470","37310"
"In post","2022","No function","Psychology","1520","1455","35690","31180"
"In post","2022","No function","Science and Engineering","6665","6360","40520","38110"
"In post","2022","No function","Security","5","5","[c]","[c]"
"In post","2022","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","No function","Statistics","60","55","50330","51710"
"In post","2022","No function","Tax","12945","12275","36030","33370"
"In post","2022","No function","Unknown","7775","7620","38440","33080"
"In post","2022","No function","Veterinarian","395","375","43340","38390"
"In post","2022","Project Delivery","Commercial","755","725","39010","37400"
"In post","2022","Project Delivery","Communications","45","40","38830","36770"
"In post","2022","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Digital, Data and Technology","160","155","46100","47010"
"In post","2022","Project Delivery","Economics","95","90","55240","55620"
"In post","2022","Project Delivery","Finance","230","220","46220","43110"
"In post","2022","Project Delivery","Human Resources","20","15","48660","48310"
"In post","2022","Project Delivery","Inspector of Education and Training","65","60","75110","75480"
"In post","2022","Project Delivery","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Knowledge and Information Management","85","85","40410","38110"
"In post","2022","Project Delivery","Legal","10","10","[c]","[c]"
"In post","2022","Project Delivery","Medicine","50","45","60260","58030"
"In post","2022","Project Delivery","Operational Delivery","1855","1770","36820","33670"
"In post","2022","Project Delivery","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Other","3390","3245","35170","30760"
"In post","2022","Project Delivery","Policy","2160","2070","53790","55060"
"In post","2022","Project Delivery","Project Delivery","12965","12440","43330","40520"
"In post","2022","Project Delivery","Property","60","55","41160","38330"
"In post","2022","Project Delivery","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Science and Engineering","3520","3440","38920","37730"
"In post","2022","Project Delivery","Security","55","50","47040","47010"
"In post","2022","Project Delivery","Statistics","30","30","53730","54030"
"In post","2022","Project Delivery","Tax","645","595","35350","33370"
"In post","2022","Project Delivery","Unknown","360","355","56910","49700"
"In post","2022","Property","Commercial","10","10","[c]","[c]"
"In post","2022","Property","Communications","10","10","39380","32000"
"In post","2022","Property","Digital, Data and Technology","15","15","55450","57000"
"In post","2022","Property","Finance","75","75","45580","41780"
"In post","2022","Property","Human Resources","25","25","42530","34260"
"In post","2022","Property","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Property","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Property","Operational Delivery","1280","1215","29610","22130"
"In post","2022","Property","Other","510","495","28890","26900"
"In post","2022","Property","Policy","45","45","47320","48680"
"In post","2022","Property","Project Delivery","70","70","47970","41420"
"In post","2022","Property","Property","7355","7045","37930","33380"
"In post","2022","Property","Security","15","15","46150","39320"
"In post","2022","Property","Unknown","120","115","49610","49700"
"In post","2022","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Security","Digital, Data and Technology","20","20","42190","37660"
"In post","2022","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Security","Intelligence Analysis","1025","1000","38900","36140"
"In post","2022","Security","Knowledge and Information Management","75","70","36420","32010"
"In post","2022","Security","Operational Delivery","10","10","34470","31890"
"In post","2022","Security","Other","30","25","36750","26740"
"In post","2022","Security","Policy","10","10","52260","53310"
"In post","2022","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Security","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Security","Security","8510","8335","31960","28890"
"In post","2022","Security","Unknown","990","950","33900","33000"
"In post","2022","Unknown","Commercial","165","160","37520","35560"
"In post","2022","Unknown","Communications","335","320","44880","41980"
"In post","2022","Unknown","Counter Fraud","185","170","27030","25310"
"In post","2022","Unknown","Digital, Data and Technology","1840","1815","48710","44950"
"In post","2022","Unknown","Economics","210","210","46220","41030"
"In post","2022","Unknown","Finance","2730","2645","38140","33300"
"In post","2022","Unknown","Human Resources","875","835","40610","37180"
"In post","2022","Unknown","Intelligence Analysis","1410","1330","29750","27370"
"In post","2022","Unknown","Internal Audit","30","25","43570","38160"
"In post","2022","Unknown","Knowledge and Information Management","215","205","38600","37980"
"In post","2022","Unknown","Legal","165","155","57420","61440"
"In post","2022","Unknown","Medicine","1840","1625","47120","39030"
"In post","2022","Unknown","Operational Delivery","27335","25250","28890","25630"
"In post","2022","Unknown","Operational Research","95","90","46850","42060"
"In post","2022","Unknown","Other","14940","14440","29280","26350"
"In post","2022","Unknown","Planning","75","70","44280","38160"
"In post","2022","Unknown","Policy","6110","5920","46780","41980"
"In post","2022","Unknown","Project Delivery","1950","1885","44230","41140"
"In post","2022","Unknown","Property","80","75","39760","37460"
"In post","2022","Unknown","Science and Engineering","1940","1895","35930","33000"
"In post","2022","Unknown","Security","345","335","31350","28670"
"In post","2022","Unknown","Social Research","235","225","45240","43560"
"In post","2022","Unknown","Statistics","230","220","38340","35490"
"In post","2022","Unknown","Unknown","16300","15670","40320","36130"
"In post","2022","Unknown","Veterinarian","20","20","60890","58700"
"Leaver CS","2022","Analysis","Digital, Data and Technology","15","[c]","37790","36000"
"Leaver CS","2022","Analysis","Economics","160","[c]","36270","32350"
"Leaver CS","2022","Analysis","Finance","10","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Geography","10","[c]","36030","34880"
"Leaver CS","2022","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Operational Delivery","40","[c]","30100","29560"
"Leaver CS","2022","Analysis","Operational Research","20","[c]","34670","36500"
"Leaver CS","2022","Analysis","Other","35","[c]","47490","41750"
"Leaver CS","2022","Analysis","Policy","30","[c]","42870","37380"
"Leaver CS","2022","Analysis","Science and Engineering","50","[c]","34650","31010"
"Leaver CS","2022","Analysis","Social Research","30","[c]","33790","32540"
"Leaver CS","2022","Analysis","Statistics","95","[c]","36760","32010"
"Leaver CS","2022","Analysis","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","325","[c]","38870","36500"
"Leaver CS","2022","Commercial","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Operational Delivery","20","[c]","49870","44180"
"Leaver CS","2022","Commercial","Other","5","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Science and Engineering","10","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","145","[c]","76720","70000"
"Leaver CS","2022","Communications","Communications","320","[c]","39030","36660"
"Leaver CS","2022","Communications","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Knowledge and Information Management","10","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Operational Delivery","10","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","65","[c]","47140","40850"
"Leaver CS","2022","Counter Fraud","Counter Fraud","270","[c]","28860","27570"
"Leaver CS","2022","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Legal","15","[c]","33350","29970"
"Leaver CS","2022","Counter Fraud","Operational Delivery","50","[c]","28110","27570"
"Leaver CS","2022","Counter Fraud","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Tax","5","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Operational Delivery","15","[c]","24460","22080"
"Leaver CS","2022","Debt","Other","210","[c]","22370","21260"
"Leaver CS","2022","Debt","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Digital, Data and Technology","1185","[c]","40260","37100"
"Leaver CS","2022","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Knowledge and Information Management","20","[c]","32620","32840"
"Leaver CS","2022","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Policy","20","[c]","51480","50000"
"Leaver CS","2022","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Science and Engineering","35","[c]","38260","39650"
"Leaver CS","2022","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","130","[c]","52280","54700"
"Leaver CS","2022","Finance","Commercial","15","[c]","32480","34290"
"Leaver CS","2022","Finance","Corporate Finance","5","[c]","[c]","[c]"
