"Status","Year","Disability","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Female","105","95","31050","30950"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Male","55","55","31660","30950"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","Female","240","220","27600","24920"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","Male","150","140","30520","26380"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","Female","280","270","46990","41820"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","Male","220","215","51340","54700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Female","160","150","35860","33300"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Male","125","125","37200","33300"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","25","20","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Outside London","Female","55","45","30860","24500"
"In post","2022","Declared disabled","Companies House","Outside London","Male","35","35","33390","26280"
"In post","2022","Declared disabled","Companies House","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","Male","20","20","[c]","[c]"
