"Status","Year","Disability","Ethnicity","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Female","115","100","27060","26590"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Male","95","90","27150","26820"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East of England","Female","80","70","29430","27570"
"In post","2022","Declared disabled","Asian","East of England","Male","50","45","32720","28640"
"In post","2022","Declared disabled","Asian","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","London","Female","855","775","36570","31880"
"In post","2022","Declared disabled","Asian","London","Male","540","520","37240","33210"
"In post","2022","Declared disabled","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","North East (England)","Female","30","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","North East (England)","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","North West (England)","Female","140","125","28040","27570"
"In post","2022","Declared disabled","Asian","North West (England)","Male","165","155","28250","27570"
"In post","2022","Declared disabled","Asian","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","Female","30","30","27960","26740"
"In post","2022","Declared disabled","Asian","Scotland","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","South East (England)","Female","80","70","29210","27570"
"In post","2022","Declared disabled","Asian","South East (England)","Male","40","40","32000","29290"
"In post","2022","Declared disabled","Asian","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","South West (England)","Female","35","30","30870","27570"
"In post","2022","Declared disabled","Asian","South West (England)","Male","30","30","[c]","[c]"
"In post","2022","Declared disabled","Asian","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wales","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wales","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","West Midlands (England)","Female","280","250","28240","27570"
"In post","2022","Declared disabled","Asian","West Midlands (England)","Male","205","195","29050","27570"
"In post","2022","Declared disabled","Asian","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","Female","120","105","27620","27370"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","Male","120","115","29620","27570"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","East Midlands (England)","Female","60","50","28160","27570"
"In post","2022","Declared disabled","Black","East Midlands (England)","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","East of England","Female","70","65","30450","29290"
"In post","2022","Declared disabled","Black","East of England","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","London","Female","1010","955","34290","31060"
"In post","2022","Declared disabled","Black","London","Male","335","330","35500","31880"
"In post","2022","Declared disabled","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","North East (England)","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","North East (England)","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","North West (England)","Female","45","40","29560","27570"
"In post","2022","Declared disabled","Black","North West (England)","Male","35","35","32550","31020"
"In post","2022","Declared disabled","Black","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scotland","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Scotland","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","South East (England)","Female","65","60","30940","27570"
"In post","2022","Declared disabled","Black","South East (England)","Male","25","20","[c]","[c]"
"In post","2022","Declared disabled","Black","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","South West (England)","Female","35","30","31770","27880"
"In post","2022","Declared disabled","Black","South West (England)","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Wales","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Wales","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","West Midlands (England)","Female","155","135","28520","27570"
"In post","2022","Declared disabled","Black","West Midlands (England)","Male","45","45","29670","27570"
"In post","2022","Declared disabled","Black","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Yorkshire and The Humber","Female","40","40","29920","27570"
"In post","2022","Declared disabled","Black","Yorkshire and The Humber","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Black","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","East Midlands (England)","Female","55","50","28230","27570"
"In post","2022","Declared disabled","Mixed","East Midlands (England)","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","East of England","Female","45","40","33280","29290"
"In post","2022","Declared disabled","Mixed","East of England","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","London","Female","310","290","38820","34380"
"In post","2022","Declared disabled","Mixed","London","Male","180","180","41480","34900"
"In post","2022","Declared disabled","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","North East (England)","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","North East (England)","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","North West (England)","Female","105","95","29290","27570"
"In post","2022","Declared disabled","Mixed","North West (England)","Male","65","60","29250","27570"
"In post","2022","Declared disabled","Mixed","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scotland","Female","30","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scotland","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","South East (England)","Female","70","65","32710","29290"
"In post","2022","Declared disabled","Mixed","South East (England)","Male","50","50","32300","29290"
"In post","2022","Declared disabled","Mixed","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","South West (England)","Female","40","40","30230","27570"
"In post","2022","Declared disabled","Mixed","South West (England)","Male","50","45","36030","32530"
"In post","2022","Declared disabled","Mixed","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Wales","Female","50","45","28760","27570"
"In post","2022","Declared disabled","Mixed","Wales","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","West Midlands (England)","Female","70","60","27810","25680"
"In post","2022","Declared disabled","Mixed","West Midlands (England)","Male","25","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Yorkshire and The Humber","Female","65","60","31810","27570"
"In post","2022","Declared disabled","Mixed","Yorkshire and The Humber","Male","35","30","29790","27570"
"In post","2022","Declared disabled","Mixed","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","East Midlands (England)","Female","5","5","[c]","[c]"
