"Status","Year","Age","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","London","10","10","[c]","[c]"
"In post","2022","16-19","Asian","No function","Outside London","50","45","22100","21260"
"In post","2022","16-19","Asian","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
